median,mean,std,rxns
0,0,0,r_0122_EXP_2
0,0.000178270468567504,0.00210122718450989,r_0123_EXP_1
0,0.00114753982592562,0.00509956384225923,r_0123_EXP_2
0,0.000198018834161015,0.00250225497931076,r_0124_EXP_1
0,2.44323448554011e-05,0.000891758545911766,r_0124_EXP_2
0,0.00119500714135379,0.00520522267954282,r_0125_EXP_1
0,0.000130803153139336,0.00179717298681587,r_0125_EXP_2
0,5.29661099777676e-05,0.00198720400149786,r_0126
0,0,0,r_0126_REV
0,3.2259926003829e-05,0.0015506400809819,r_0127
0,0,0,r_0127_REV
0,8.63125707695539e-05,0.00247351871480264,r_0128
0,0,0,r_0128_REV
0,4.10664298665756e-05,0.00173650678110542,r_0129
0,0,0,r_0129_REV
0,0.00010407084704423,0.00273450941397513,r_0130
0,0,0,r_0130_REV
0,4.5615640860551e-06,0.000172359180509212,r_0131
0,0,0,r_0131_REV
0,3.90997428976654e-06,0.000159584116966009,r_0132
0,0,0,r_0132_REV
0,1.95498714492632e-06,0.00011285994662166,r_0133
0,0,0,r_0133_REV
0,3.90997428970499e-06,0.000159584116963485,r_0134
0,0,0,r_0134_REV
0,7.57075351909063e-06,0.000219727866602952,r_0135
0,0,0,r_0135_REV
0,0,0,r_0137
0,0,0,r_0137_REV
0,0,0,r_0139
0.000936527937919583,0.00210394217092655,0.00721527745426513,r_0142
0,0.000749213579710104,0.0187263648609805,r_0143
0.000936527937919583,0.00210394217092655,0.00721527745426513,r_0144
0,0,0,r_0145
0,0.00835463802215152,0.264082755161336,r_0146
0,0.00835463802215152,0.264082755161336,r_0146_REV
0,0.000398500975864185,0.0150574511851024,r_0147
0.949618107639501,0.523237919022838,0.484192125961002,r_0148_EXP_1
0,0.00718555382617765,0.0897740130417022,r_0148_EXP_2
0,0.448125231223963,0.499362680761036,r_0148_EXP_3
0,0.00121891676388788,0.0302478641376217,r_0149_EXP_1
0,0.00237528449176125,0.0474486794266641,r_0149_EXP_2
0,0.373407819751759,13.1898118893027,r_0150_EXP_1
0,0.32534597770762,12.2609162933653,r_0150_EXP_2
0,0.324490667053278,12.2609140984414,r_0150_REV_EXP_1
0,0.373194879175609,13.1898121863469,r_0150_REV_EXP_2
0.000598744574998889,0.000673163089330164,0.00109159341681894,r_0151
0.00623813189999894,0.0160376208954392,0.261029521009922,r_0152
0,0.00879610555604487,0.253894874782684,r_0152_REV
0.00623813189999893,0.00724151533939324,0.0188624240133243,r_0153
0.008986960125,0.0103805044008611,0.0144235386524792,r_0154
0,0.0281872177680393,0.0728879786877149,r_0156
0.0085939425,0.0086097167351437,7.60760642783267e-05,r_0157
0,3.3996747384095,55.7590164315576,r_0163
0,0,0,r_0164_EXP_1
0,0,0,r_0164_EXP_2
