Par.Wo.mean,Par.Ac.mean,Par_Ac.vs.Par_wo.log.2,Par_Ac.vs.Par_wo_adj_p,Rxn
29044.9115084875,5085.371223376,-2.5138604370846,0.00452347867704018,r_1120
1090.59362928005,437.017711648302,-1.31934997685846,0.00792993799194019,r_1130
1090.59362928005,437.017711648302,-1.31934997685846,0.00792993799194019,r_1131
390.250831661207,76.2434011879097,-2.35571732287518,0.0345565366968549,r_1133
20138.370010851,4028.83417948664,-2.32151258433743,0.00750005991747944,r_1136
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1173
390.250831661207,76.2434011879097,-2.35571732287518,0.0345565366968549,r_1176
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1183
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1184
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1186
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1190
44915.8654553644,3568.57045286002,-3.65380697208258,0.00117196431784809,r_1191
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1192
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1196
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1199
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1201
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1205
20138.370010851,4028.83417948664,-2.32151258433743,0.00750005991747944,r_1206
20138.370010851,4028.83417948664,-2.32151258433743,0.00750005991747944,r_1207
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1211
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1213
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1214
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1215
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1216
51044.035406718,8901.08331433688,-2.519689552901,0.00117631690361525,r_1217
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1218
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1219
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1223
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1224
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1238
261057.446836052,44648.4764795103,-2.54768446025614,0.00983221113947249,r_1251
261057.446836052,44648.4764795103,-2.54768446025614,0.00983221113947249,r_1252
1601.87512015694,565.737730347251,-1.50155638578839,0.00161981286512325,r_1253
20138.370010851,4028.83417948664,-2.32151258433743,0.00750005991747944,r_1254
46301.3001105555,3817.67378600748,-3.6002869668127,0.000760436423552888,r_1255
46301.3001105555,3817.67378600748,-3.6002869668127,0.000760436423552888,r_1257
308429.139226633,49575.7614230532,-2.6372322363327,0.00750005991747944,r_1260
261057.446836052,44648.4764795103,-2.54768446025614,0.00983221113947249,r_1261
261057.446836052,44648.4764795103,-2.54768446025614,0.00983221113947249,r_1262
261057.446836052,44648.4764795103,-2.54768446025614,0.00983221113947249,r_1263
10218.6954313061,3397.16243569406,-1.58880891891785,0.00486315826714231,r_1265
5047.70759325635,1667.03442614369,-1.59834444149178,0.000530158149331784,r_1270
1090.59362928005,437.017711648302,-1.31934997685846,0.00792993799194019,r_1275
1090.59362928005,437.017711648302,-1.31934997685846,0.00792993799194019,r_1276
1166.25641934568,461.99561304219,-1.33593396456361,0.0168211807410483,r_1277
20134.7945679941,4022.59473590655,-2.32349244948521,0.00750005991747944,r_1798
20134.7945679941,4022.59473590655,-2.32349244948521,0.00750005991747944,r_1901
20134.7945679941,4022.59473590655,-2.32349244948521,0.00750005991747944,r_2057
34057.2865249837,10669.3710053477,-1.67448836749948,0.00564460849487726,r_2305
37664.8484467726,16371.4769616062,-1.20203424313213,0.00121068969022349,r_4337
23743.8809849674,4076.50920126447,-2.54214958914922,0.0132314211218499,t_0009
23743.8809849674,4076.50920126447,-2.54214958914922,0.0132314211218499,t_0010
23743.8809849674,4076.50920126447,-2.54214958914922,0.0132314211218499,t_0011
23743.8809849674,4076.50920126447,-2.54214958914922,0.0132314211218499,t_0012
23743.8809849674,4076.50920126447,-2.54214958914922,0.0132314211218499,t_0013
23743.8809849674,4076.50920126447,-2.54214958914922,0.0132314211218499,t_0014
29044.9115084875,5085.371223376,-2.5138604370846,0.00452347867704018,t_0015
29044.9115084875,5085.371223376,-2.5138604370846,0.00452347867704018,t_0016
29044.9115084875,5085.371223376,-2.5138604370846,0.00452347867704018,t_0017
29044.9115084875,5085.371223376,-2.5138604370846,0.00452347867704018,t_0018
29044.9115084875,5085.371223376,-2.5138604370846,0.00452347867704018,t_0019
29044.9115084875,5085.371223376,-2.5138604370846,0.00452347867704018,t_0020
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0028
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0029
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0030
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0031
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0032
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0033
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0034
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0035
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0036
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0037
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0038
36782.4745756865,15805.0864101536,-1.2186296188654,0.00436951996689733,t_0039
26631.3636618018,7000.26919777608,-1.92764399621819,0.00140462694611644,y200015
26631.3636618018,7000.26919777608,-1.92764399621819,0.00140462694611644,y200016
29088.4826291045,9929.35938489902,-1.55067549456032,0.000530158149331784,y300004
29088.4826291045,9929.35938489902,-1.55067549456032,0.000530158149331784,y300006
29088.4826291045,9929.35938489902,-1.55067549456032,0.000530158149331784,y300008
33921.4547044195,11532.5689937111,-1.55648411710742,0.00203072394565056,y300025
29088.4826291045,9929.35938489902,-1.55067549456032,0.000530158149331784,y300026
241500.588843031,12273.0252922286,-4.29846388546291,0.00735239716094615,y300059
