Rxn	Par_wo_1	Par_wo_2	Par_wo_3	Par_Ac_1	Par_Ac_2	Par_Ac_3	ATS_wo_1	ATS_wo_2	ATS_wo_3	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
r_0569	8765.62211649729	8915.26694017035	9473.35937946263	8615.48846889458	8510.03021266129	8824.16079953088	6848.40752971991	6876.83938215631	6984.71219553488	7552.05076437256	7459.01543502094	7321.32302493462	0.925291838447547	0.941088222568419	1	0.90944385447597	0.898311767957442	0.931471133530609	0.722912248485646	0.725913491370829	0.737300456549457	0.797188247787233	0.787367515180665	0.772832817976543
r_0570	3934.11639718848	3737.78736576108	3536.06296282025	3486.73404527744	3327.14729604693	3295.75681021577	2237.44670237806	1924.51354554035	2184.49713229254	1718.08349537837	1585.35177958484	1650.81290314462	1	0.950095774601965	0.898820117612001	0.886281363654934	0.845716537117376	0.837737493626545	0.568729157067405	0.489185715734213	0.555270081447944	0.436713945882791	0.402975311233245	0.419614657137337
r_0572	2514.60965128905	2732.16777039703	2793.05438403887	4245.29832230345	4350.34740959271	4696.86279269927	4140.47417600668	3712.15795774651	3925.35146761259	4025.68439010845	4259.45110899128	4079.80484060643	0.535380691809375	0.581700571420538	0.594663822920344	0.903858279382203	0.926224077985591	1	0.881540372531761	0.790348392445406	0.835739011519369	0.857100700571009	0.906871521904388	0.868623381323384
r_0573	2514.60965128905	2732.16777039703	2793.05438403887	4245.29832230345	4350.34740959271	4696.86279269927	4140.47417600668	3712.15795774651	3925.35146761259	4025.68439010845	4259.45110899128	4079.80484060643	0.535380691809375	0.581700571420538	0.594663822920344	0.903858279382203	0.926224077985591	1	0.881540372531761	0.790348392445406	0.835739011519369	0.857100700571009	0.906871521904388	0.868623381323384
r_0574	2514.60965128905	2732.16777039703	2793.05438403887	4245.29832230345	4350.34740959271	4696.86279269927	4140.47417600668	3712.15795774651	3925.35146761259	4025.68439010845	4259.45110899128	4079.80484060643	0.535380691809375	0.581700571420538	0.594663822920344	0.903858279382203	0.926224077985591	1	0.881540372531761	0.790348392445406	0.835739011519369	0.857100700571009	0.906871521904388	0.868623381323384
r_0575	2514.60965128905	2732.16777039703	2793.05438403887	4245.29832230345	4350.34740959271	4696.86279269927	4140.47417600668	3712.15795774651	3925.35146761259	4025.68439010845	4259.45110899128	4079.80484060643	0.535380691809375	0.581700571420538	0.594663822920344	0.903858279382203	0.926224077985591	1	0.881540372531761	0.790348392445406	0.835739011519369	0.857100700571009	0.906871521904388	0.868623381323384
r_0596	2644.17923255776	2950.82779005638	3100.70637369054	3263.56668712404	3218.33869860645	3033.78039946761	3090.26364675342	3394.1875931104	2802.93519127219	3821.66197503227	4084.29611011687	3981.05660452756	0.647401452115111	0.722481355538138	0.759177662464296	0.799052419103534	0.787978787981256	0.742791491526015	0.756620862796599	0.831033671800372	0.686271297599915	0.935696597895033	1	0.974722815680875
r_0597	2644.17923255776	2950.82779005638	3100.70637369054	3263.56668712404	3218.33869860645	3033.78039946761	3090.26364675342	3394.1875931104	2802.93519127219	3821.66197503227	4084.29611011687	3981.05660452756	0.647401452115111	0.722481355538138	0.759177662464296	0.799052419103534	0.787978787981256	0.742791491526015	0.756620862796599	0.831033671800372	0.686271297599915	0.935696597895033	1	0.974722815680875
r_0598	2644.17923255776	2950.82779005638	3100.70637369054	3263.56668712404	3218.33869860645	3033.78039946761	3090.26364675342	3394.1875931104	2802.93519127219	3821.66197503227	4084.29611011687	3981.05660452756	0.647401452115111	0.722481355538138	0.759177662464296	0.799052419103534	0.787978787981256	0.742791491526015	0.756620862796599	0.831033671800372	0.686271297599915	0.935696597895033	1	0.974722815680875
r_0599	2644.17923255776	2950.82779005638	3100.70637369054	3263.56668712404	3218.33869860645	3033.78039946761	3090.26364675342	3394.1875931104	2802.93519127219	3821.66197503227	4084.29611011687	3981.05660452756	0.647401452115111	0.722481355538138	0.759177662464296	0.799052419103534	0.787978787981256	0.742791491526015	0.756620862796599	0.831033671800372	0.686271297599915	0.935696597895033	1	0.974722815680875
