Rxn,Par_wo_1,Par_wo_2,Par_wo_3,Par_Ac_1,Par_Ac_2,Par_Ac_3,ATS_wo_1,ATS_wo_2,ATS_wo_3,ATS_Ac_1,ATS_Ac_2,ATS_Ac_3,Par.Wo.mean,Par.Ac.mean,ATS.Wo.mean,ATS.Ac.mean,Par_Ac.vs.Par_wo.t.test,Par_Ac.vs.Par_wo.log.2,Par_Ac.vs.Par_wo_adj_p,ATS_Ac.vs.ATS_wo.t.test,ATS_Ac.vs.ATS_wo.log.2,ATS_Ac.vs.ATS_wo_adj_p,ATS_Ac.vs.Par_Ac.t.test,ATS_Ac.vs.Par_Ac.log.2,ATS_Ac.vs.Par_Ac_adj_p,ATS_wo.vs.Par_wo.t.test,ATS_wo.vs.Par_wo.log.2,ATS_wo.vs.Par_wo_adj_p
t_1314,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
t_1316,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
t_1318,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
t_1320,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
t_1321,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
t_1322,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
t_1323,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
t_1324,2161.41257049731,2056.70315521171,2036.50137804012,3090.56079938127,3362.08583650947,2812.73780289884,2783.63283529262,2976.90365001839,2854.397755721,3866.76166678595,3807.63082780388,3765.31317570307,2084.87236791638,3088.46147959653,2871.64474701067,3813.23522343097,0.0192762089166269,0.566929269777364,0.035362501464072,0.000656636502370705,0.409138244488985,0.00674900564026049,0.0407238408616828,0.304127190980486,0.062888956236151,0.000628084125957384,0.461918216268864,0.00319602151962577
y200001,1904.19295731201,2061.03305659111,1909.76423764902,1355.38340456469,1242.81379645317,1416.30997060728,1107.70380640216,869.619737403747,1100.23413649177,550.86052070569,658.82164349351,569.949058237837,1958.33008385071,1338.16905720838,1025.85256009923,593.210407479012,0.00101326549984711,-0.549363567113521,0.00597942226525747,0.0187774945063539,-0.79020758132125,0.0433026322048458,0.000576996019584696,-1.1736445757175,0.00486683599127961,0.00114629799780865,-0.932800561509769,0.00444140647597842
y200002,21942.3686441871,20877.7019760886,20238.2766400101,16949.458481403,16903.2658757764,16443.6979246393,21695.0881321378,20197.3774135394,21916.8414560349,15797.7777400042,16571.0561719191,16698.1120508588,21019.449086762,16765.4740939396,21269.7690005707,16355.6486542607,0.00820031605469153,-0.32623157697915,0.019654523747029,0.00392045394174054,-0.379015388163942,0.0160119592567929,0.290904691274775,-0.035704303336049,0.351623115933373,0.750319370768946,0.0170795078487432,0.792618697065321
