Name,GrRule,REF,ALT
usage_prot_E6R594,CGB_D0260W,3.87526444868695,0.459552540265487
usage_prot_E6R5A2,CGB_D0330C,-0,23851.8014221094
usage_prot_E6R5B3,CGB_D0440W,-0,-0
usage_prot_E6R5B4,CGB_D0450C,-0,-0
usage_prot_E6R5C0,CGB_D0510C,664.084091936267,77.0436145597636
usage_prot_E6R5C5,CGB_D0560W,-0,-0
usage_prot_E6R5E1,CGB_D0720W,-0,-0
usage_prot_E6R5F4,CGB_D1110W,8.59846637797256,23851.8014221094
usage_prot_E6R5F7,CGB_D1140C,-0,23851.8014221094
usage_prot_E6R5G1,CGB_D1180W,-0,0.00200227198388936
usage_prot_E6R5G7,CGB_D1240C,-0,-0
usage_prot_E6R5I5,CGB_D1420W,-0,-0
usage_prot_E6R5J5,CGB_D1520C,430.388261109187,49.929853535922
usage_prot_E6R5J7,CGB_D1540C,-0,23851.8014221094
usage_prot_E6R5J9,CGB_D1560C,-0,-0
usage_prot_E6R5L8,CGB_D1750W,-0,-0
usage_prot_E6R5N6,CGB_D1930W,-0,-0
usage_prot_E6R5P2,CGB_D2050C,-0,-0
usage_prot_E6R5P3,CGB_D2060C,-0,-0
usage_prot_E6R5P6,CGB_D2090W,635.636899575539,73.7409919493055
usage_prot_E6R5P9,CGB_D2120W,3767.72548777562,446.7999132646
usage_prot_E6R5Q5,CGB_D2180C,-0,-0
usage_prot_E6R5Q7,CGB_D2200W,-0,23851.8014221094
usage_prot_E6R5R1,CGB_D2240C,-0,-0
usage_prot_E6R5R3,CGB_D2260W,-0,-0
usage_prot_E6R5R6,CGB_D2290W,-0,194.485723980234
usage_prot_E6R5S0,CGB_D2330C,-0,-0
usage_prot_E6R5S2,CGB_D2350W,-0,23851.8014221094
usage_prot_E6R5T8,CGB_D2490W,-0,-0
usage_prot_E6R5U8,CGB_D2590C,1747045.80462697,225546.358544373
usage_prot_E6R5W7,CGB_D3080W,-0,-0
usage_prot_E6R5X6,CGB_D3180W,23587.322036333,23851.8014221094
usage_prot_E6R5X7,CGB_D3190W,-0,0.374543167923074
usage_prot_E6R5Y1,CGB_D3230C,572.200355498973,23851.8014221094
usage_prot_E6R5Y6,CGB_D3280C,-0,-0
usage_prot_E6R610,CGB_E5540C,-0,-0
usage_prot_E6R621,CGB_E5650C,5627.53802642603,667.347830716817
usage_prot_E6R622,CGB_E5660W,9846.87819554047,1167.70295860599
usage_prot_E6R634,CGB_E6070C,-0,-0
usage_prot_E6R636,CGB_E6090C,391.841157657547,46.4669190521301
usage_prot_E6R685,CGB_E6580C,2124.61206208917,23851.8014221069
usage_prot_E6R6A3,CGB_E0010C,-0,23851.8014221094
usage_prot_E6R6A4,CGB_E0020W,-0,-0
usage_prot_E6R6A8,CGB_E0060W,-0,23851.8014221094
usage_prot_E6R6B5,CGB_E0130W,-0,-0
usage_prot_E6R6B6,CGB_E0140W,213.070133256202,102.818245757298
usage_prot_E6R6C3,CGB_E0210W,-0,-0
usage_prot_E6R6F3,CGB_E0510C,54.0161071733434,6.40556008933403
usage_prot_E6R6H0,CGB_E0680C,-0,23851.8014221094
usage_prot_E6R6H2,CGB_E0700C,-0,1835.16853089792
usage_prot_E6R6H4,CGB_E0720W,483.007367445514,64.8479811511274
usage_prot_E6R6I2,CGB_E1070W,-0,13416.8422562819
usage_prot_E6R6J6,CGB_E1210C,-0,1.96542844026398
usage_prot_E6R6J7,CGB_E1220W,-0,-0
usage_prot_E6R6K1,CGB_E1260W,-0,-0
usage_prot_E6R6L0,CGB_E1350W,-0,23851.8014221094
usage_prot_E6R6N6,CGB_E1610C,6890.03265101618,799.337855736803
usage_prot_E6R6P7,CGB_E1700C,-0,-0
usage_prot_E6R6Q6,CGB_E2080W,-0,-0
usage_prot_E6R6S5,CGB_E2270W,4590.62585780677,23851.8014221162
usage_prot_E6R6T2,CGB_E2340W,-0,-0
usage_prot_E6R6T6,CGB_E2380C,-0,-0
usage_prot_E6R6T8,CGB_E2400W,-0,-0
usage_prot_E6R6W4,CGB_E2660C,-0,23851.8014221094
usage_prot_E6R6X7,CGB_E2790C,-0,-0
usage_prot_E6R6Z5,CGB_E3180C,-0,264.685514329931
usage_prot_E6R707,CGB_E3300W,132.960544197985,7.78218460143774
usage_prot_E6R713,CGB_E3360W,-0,-0
usage_prot_E6R716,CGB_E3390C,0.214185961014275,23851.8014221094
usage_prot_E6R717,CGB_E3400W,-0,-0
usage_prot_E6R762,CGB_E4160W,-0,-0
usage_prot_E6R765,CGB_E4190C,-0,-0
usage_prot_E6R779,CGB_E4330W,-0,31.6273793230631
usage_prot_E6R7A3,CGB_E4600W,-0,-0
usage_prot_E6R7A5,CGB_E4620W,-0,-0
usage_prot_E6R7C4,CGB_E5070C,-0,23851.8014221094
usage_prot_E6R7E8,CGB_E5310W,-0,-0
usage_prot_E6R7H0,CGB_F6540C,85841.647794217,9958.8649629817
usage_prot_E6R7H1,CGB_F6550W,0.00376318199657999,-0
usage_prot_E6R7I4,CGB_F0030W,-0,-0
usage_prot_E6R7I5,CGB_F0040W,3107718.51852436,368532.253485817
usage_prot_E6R7J2,CGB_F0110C,-0,-0
usage_prot_E6R7J4,CGB_F0130C,-0,22138.314925901
usage_prot_E6R7K2,CGB_F0210C,-0,7658.16931050698
usage_prot_E6R7L6,CGB_F0350C,-0,-0
usage_prot_E6R7M0,CGB_F0390C,12877.4552283729,827.596957946054
usage_prot_E6R7Q8,CGB_F1190W,-0,-0
usage_prot_E6R7R5,CGB_F1260C,-0,23851.8014221094
usage_prot_E6R7S3,CGB_F1340C,-0,-0
usage_prot_E6R7T3,CGB_F1440C,2526.03491138788,1542.52559136913
usage_prot_E6R7T9,CGB_F1500C,30298.9836518949,3593.0386417068
usage_prot_E6R7U0,CGB_F1510W,-0,3203.92824540646
usage_prot_E6R7V6,CGB_F1670W,-0,-0
usage_prot_E6R7X2,CGB_F2090W,101.212132026808,11.7422398030554
usage_prot_E6R7Y7,CGB_F2240W,-0,23851.8014221094
usage_prot_E6R817,CGB_F2530W,-0,23851.8014221094
usage_prot_E6R833,CGB_F3160C,4542.2618210493,538.649165010442
usage_prot_E6R843,CGB_F3260W,-0,707.834488554872
usage_prot_E6R844,CGB_F3270W,1205.14900603067,139.815572822253
usage_prot_E6R847,CGB_F3300C,166578.531681998,35665.9074180848
usage_prot_E6R865,CGB_F3460C,-0,77.1615641226258
usage_prot_E6R871,CGB_F3520C,902.918407086539,121.224726141703
usage_prot_E6R874,CGB_F3550W,1337.54200800961,155.174943566939
usage_prot_E6R880,CGB_F3610C,22.8046615557643,2.70431604555919
usage_prot_E6R8B7,CGB_F4260C,-0,-0
usage_prot_E6R8C2,CGB_F4310C,-0,-0
usage_prot_E6R8C8,CGB_F4370W,-0,8.97599210282536e-09
usage_prot_E6R8D6,CGB_F4450C,-0,-0
usage_prot_E6R8D7,CGB_F4460C,-0,-0
usage_prot_E6R8E6,CGB_F4550C,-0,23851.8014221094
usage_prot_E6R8G1,CGB_F4700C,-0,-0
usage_prot_E6R8G9,CGB_F5080W,1665.17956801287,3172.54532867046
usage_prot_E6R8H2,CGB_F5110C,-0,-0
usage_prot_E6R8I0,CGB_F5190W,7.35642646894513,23851.8014221094
usage_prot_E6R8I8,CGB_F5260W,-0,-0
usage_prot_E6R8J6,CGB_F5320C,-0,23851.8014221094
usage_prot_E6R8L2,CGB_F5470C,-0,-0
usage_prot_E6R8L8,CGB_F5530C,-0,-0
