Gene,Par_wo_RNA,Par_Ac_RNA,ATS_wo_RNA,ATS_Ac_RNA,Parwo_PARROT,ParAc_PARROT,ATSwo_PARROT,ATSAc_PARROT
PAPLA_02669,3531.17677443729,2622.27783804712,1687.57161170152,1557.49492115715,911.471984959516,89.7588905873395,895.21317720319,103.854027137038
PAPLA_02672,2326.20280571132,1866.2672477723,1782.26318665504,2205.43969557092,30.8690394619484,17949.257443548,32.1320305988514,22737.2286675026
PAPLA_02691,1263.77642202636,824.326702721273,585.634861965886,293.149857383782,0,0,0,0
PAPLA_02703,7856.13491436977,6452.14846570055,6171.85295097404,5276.1664848214,0,17949.257443548,0,23851.8014221094
PAPLA_02705,2353.24937897014,2375.10479756678,1413.13553580035,1527.25766083012,0,0,0,0
PAPLA_02719,421.459213703716,592.882565029258,541.747227523723,648.059398845704,0,17949.257443548,0,23851.8014221094
PAPLA_02729,1933.85329524405,2339.01491532874,1930.94220241523,2519.709913977,0,0,0,0
PAPLA_02740,1873.07452190603,2062.31299006081,1604.77559590039,1719.68902290068,0,0,0,0
PAPLA_02742,2189.91603856044,2430.95358726991,3327.10920123572,5060.71227455522,0,0,0,0
PAPLA_02744,2724.20730692657,2385.06112159347,2207.6350538524,2106.74909290429,0,0,0,0
PAPLA_02748,4978.32673934304,4072.4873155459,3347.39525555361,2921.59885959811,0,0,0,0
PAPLA_02769,2775.64175380561,2734.51045629518,2250.28846640907,2485.82229345235,0,0,0,0
PAPLA_02776,4249.17915656398,3628.48517635778,3297.13224464937,3050.06741947389,5632.10356865225,339.927811678555,5444.5568079427,595.7919713923
PAPLA_02778,957.164937815397,373.902542371067,701.344883089047,1393.72941232065,0,0,0,0
PAPLA_02784,6138.62019727634,5809.35084026905,6020.10408275616,7011.93928517253,25716.0643666154,17949.257443548,26972.5210933086,23851.8014221094
PAPLA_02800,3718.17485969068,1451.48200178311,2283.80925006325,1114.57660527803,0,0.170799183192985,0,0.183722735579815
PAPLA_02813,2486.71961909305,2184.58021197875,3345.77351632548,3693.52788962533,0,0,0,0
PAPLA_02831,614.278752222831,698.161575725136,542.361501428116,503.40943189123,0,0,0,0
PAPLA_02832,2135.19841164596,2423.89767735307,2494.80270780773,2737.89617665886,0,0,0,0
PAPLA_02854,6051.08137595712,7174.19673769373,1670.69612688494,4073.45844987436,7423.86735476349,0,7643.78571971592,0
PAPLA_02863,9972.8693410304,4469.77989163036,12910.4089899028,4661.55236329771,0,0,0,0
PAPLA_02875,222.76356575339,383.864347629278,500.182699995758,628.440784837381,0,0,0,0
PAPLA_02883,8455.3576397699,4601.14339866049,3998.94563833129,2808.43072123354,13708.4219912687,799.003123259732,14233.6879713043,914.758130118744
PAPLA_02884,26631.3636618018,7000.26919777608,15152.6682570015,6541.85247594325,0,0,0,0
PAPLA_02894,3259.51980302382,3942.92192508471,3092.35419764886,3406.10070947863,4541437.94264219,335395.125818193,4396776.73934416,164509.536719656
PAPLA_02895,14742.2922614437,12923.0342946927,11439.6098967782,11365.7461652939,0,0,0,0
PAPLA_02896,1082.42350713849,1009.40602468808,1550.88350227035,1559.81898408234,0,0,0,0
PAPLA_02897,4380.65608700801,2370.63735602723,2685.06979235006,2892.56492088544,62137.2750704885,7168.90747940234,65027.3808920337,7711.34421495579
PAPLA_02901,3450.69064375412,2882.48809618973,3055.71918878553,2280.88581656217,0.845638808045907,0.0975631164124426,0.916780857914993,0.104945248003517
PAPLA_02905,1426.7051492838,1267.09427062035,1330.0741326833,1432.85808231969,0,17949.257443548,0,23851.8014221094
PAPLA_02908,496.53041518196,212.057900647052,241.884684168245,145.042824490846,3962.15522522464,457.1221412154,4146.44151475882,420.345591352579
PAPLA_02913,5210.01361959982,3626.9890702235,3495.91597510212,2589.57765114026,7207.96120167366,709.81790152854,7079.14198312258,821.303816241022
PAPLA_02926,3758.77977159703,3396.49946944361,3708.06064818136,3427.67301606579,0.0215234484324642,0,0.0225245947835901,0
PAPLA_02927,6137.99986738217,6412.27864094582,6329.49843313819,7215.31116208316,0,0,0,0
PAPLA_02934,5164.44635876441,4193.20205947222,3543.28658868986,3446.23079342609,0,0,0,0
PAPLA_02935,2412.56487101294,1778.51947282113,1497.67859710749,959.794563634915,2660.99054610028,262.041929114606,2613.43748444261,303.192309459517
PAPLA_02939,1635.09976304945,1793.89886182402,951.90154599814,802.762979255938,3600.27102114563,415.370803158639,3767.72548777562,446.7999132646
PAPLA_02943,1454.8705320942,2452.94348945734,2304.57801667666,2751.10687552536,0,0,0,0
PAPLA_02949,734.299514342113,879.897320001896,1088.58224954652,1260.17707863746,0,0,0,0
PAPLA_02990,1230.99862030483,835.675619788116,1558.10197471383,1852.34062009005,0,15026.9718181503,0,19968.5334565745
PAPLA_02991,2726.4528746379,2605.37887434726,2306.60790356974,2812.1449952174,0.018493171564025,0.00213359890260556,0.0193533509222652,0.00229503806569074
PAPLA_03001,784.131352698937,1130.01266293173,887.350662800331,1085.09125782293,17.0965086643936,1.68361171468591,16.7909633577199,1.94804431300192
PAPLA_03003,529.83133704986,417.567927791361,809.474457973534,789.812742990856,0,1424.97910847673,0,1532.68316766733
PAPLA_03009,629.24965581302,628.924451679272,1049.42113952807,1139.08433023658,0,0,0,0
PAPLA_03018,10468.5288745057,3111.68561976456,1674.79686578521,834.695752507512,0,0,0,0
PAPLA_03021,2248.40081243056,1748.17386620414,3004.91442206157,3295.33296990136,0,17949.257443548,0,23851.8014221094
PAPLA_03027,177.744122666798,274.783994431258,414.700155045485,430.491160414293,0,0,0,0
PAPLA_03035,855.537518319241,926.7494495344,1033.94012029513,1058.39149944053,0,17949.257443548,0,23851.8014221094
PAPLA_03043,2130.57282676822,2004.50024984417,1949.00341470533,1940.57096422831,0,0,0,0
PAPLA_03057,4554.75987085389,2212.07060668488,1178.81478967827,789.292184550501,67.1578827701305,0,66.3905240491942,0
PAPLA_03077,438.169466164961,424.58669204359,393.449504690345,294.957001717204,0,0,0,0
PAPLA_03078,6375.55570021954,4875.76301702929,5018.05594479837,4484.44918688683,0,0,0,0
PAPLA_03080,5034.13492376263,4279.87708113517,2855.39254637758,2577.90620656407,955.231166131076,94.0733629086859,938.189407978683,108.845543105863
PAPLA_03081,590.345577651334,767.9229826014,632.385634594081,787.583983640044,13984.8157806041,1618.00741943221,14635.2723285886,1740.43425576952
PAPLA_03087,283.379066670198,376.821156824699,438.615906354206,585.030752565362,0,17949.257443548,0,23851.8014221094
PAPLA_03102,1997.01939703734,2476.83696292729,1623.65589174108,1735.92810404189,0,17949.257443548,0,23851.8014221094
