Gene_id,Protein_ID
gene_907,507780
gene_917,507790
gene_941,507813
gene_960,507830
gene_974,507843
gene_987,507855
gene_993,507860
gene_997,507864
gene_998,507865
gene_1009,507875
gene_1075,507928
gene_1078,507931
gene_1088,507939
gene_1103,507950
gene_1106,507953
gene_1107,507954
gene_1111,507957
gene_1159,508001
gene_1165,508006
gene_1182,508023
gene_1187,508026
gene_1188,508027
gene_1196,508035
gene_1217,508056
gene_1228,508066
gene_1234,508068
gene_1243,508076
gene_1254,508083
gene_1284,508106
gene_1285,508107
gene_1286,508108
gene_1287,508109
gene_1289,508111
gene_1292,508114
gene_1294,508116
gene_4,513968
gene_13,513974
gene_14,513976
gene_24,513990
gene_25,513992
gene_29,514004
gene_65,514233
gene_73,514241
gene_77,514265
gene_91,514321
gene_129,514425
gene_140,514471
gene_169,514555
gene_217,514651
gene_267,514751
gene_300,514815
gene_360,514913
gene_363,514929
gene_505,515247
gene_508,515251
gene_512,515261
gene_567,515418
gene_572,515432
gene_593,515470
gene_606,515492
gene_651,515555
gene_744,515742
gene_752,515772
gene_766,515792
gene_789,515824
gene_793,515840
gene_803,515867
gene_807,515871
gene_858,515988
gene_954,516145
gene_977,516191
gene_1052,516401
gene_1087,516491
gene_1114,516565
gene_1163,516648
gene_1194,516697
gene_1235,516824
gene_1244,516832
gene_1249,516837
gene_1252,516863
gene_1256,516865
gene_1259,516886
gene_1288,516938
gene_37,533744
gene_137,533791
gene_193,533821
gene_240,533845
gene_297,533875
gene_356,533890
gene_414,533915
gene_489,533937
gene_594,533968
gene_904,534078
gene_1058,534126
gene_1073,534128
gene_44,536902
gene_49,536906
gene_103,536948
gene_111,536957
gene_134,536977
gene_141,536983
gene_150,536991
gene_184,537018
gene_185,537019
gene_207,537040
gene_218,537049
gene_277,537100
gene_279,537102
gene_296,537117
gene_302,537123
gene_327,537146
gene_344,537158
gene_391,537197
gene_417,537220
gene_443,537245
gene_445,537247
gene_488,537282
gene_496,537287
gene_499,537290
gene_500,537291
gene_544,537324
gene_573,537346
gene_584,537356
gene_658,537425
gene_688,537450
gene_697,537457
gene_783,537524
gene_799,537535
gene_836,537569
gene_852,537581
gene_862,537590
gene_885,537608
gene_889,537611
gene_892,537614
gene_946,537663
gene_995,537704
gene_996,537705
gene_1003,537712
gene_1012,537719
gene_1013,537720
gene_1017,537724
gene_1025,537731
gene_1030,537733
gene_1040,537742
gene_1047,537749
gene_1048,537750
gene_1057,537757
gene_1130,537812
gene_1135,537816
gene_1154,537834
gene_1189,537864
gene_1208,537881
gene_1275,537928
gene_26,543419
gene_206,543554
gene_210,543558
gene_252,543589
gene_276,543607
gene_305,543629
gene_319,543639
gene_320,543640
gene_324,543643
gene_336,543650
gene_432,543718
gene_456,543735
gene_486,543759
gene_524,543781
gene_547,543797
gene_575,543809
gene_608,543836
gene_633,543851
gene_653,543867
gene_659,543872
gene_732,543923
gene_734,543924
gene_798,543972
gene_893,544043
gene_943,544074
gene_1164,544217
gene_1214,544258
gene_1216,544260
gene_1221,544264
gene_1264,544291
gene_6473,64209
gene_6466,64297
gene_6468,64504
gene_6475,64739
gene_6476,64752
gene_6477,64853
gene_6481,64904
gene_6480,65248
gene_6484,65317
gene_6487,66137
gene_6495,66744
gene_6504,67105
gene_6503,67269
gene_6509,67395
gene_6515,68183
gene_6525,68507
gene_6531,68651
gene_6538,68856
gene_6537,68874
gene_6551,69589
gene_6546,69714
gene_6566,71144
gene_6569,71299
gene_6570,71418
