log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
-1.02895257875343,-1.20582466873293,2.41466391646746e-11,1.20051290524691e-08,gene_4352
-1.49874125638587,-1.36456847058413,5.18990647547996e-70,1.99014665836585e-36,gene_4577
-1.44549586859975,-1.28137124476103,1.85567240544179e-62,3.23808719171483e-27,gene_458
-2.25083969537737,-1.16658024996136,1.6088289179035e-146,2.40668213710209e-21,gene_4610
-1.59445697340225,-1.04124448707524,6.49235449026218e-55,4.19750531904631e-12,gene_4660
-1.39107099110497,-1.14247649338191,2.58173976452749e-50,6.04628723923458e-17,gene_4670
-1.99437112653238,-1.6490455271093,1.29843341143273e-129,6.76528646857394e-51,gene_4672
-1.15454882723187,-1.10000938125025,4.48995314781146e-27,9.34459817108969e-18,gene_4679
-1.20088589484398,-1.08930726265793,1.06253431496889e-13,2.01952047192642e-19,gene_4788
-2.36837775941398,-1.81245326794088,5.25691279248122e-182,1.13827207305913e-90,gene_4819
-1.338429319648,-1.03583947672485,3.49195147688818e-36,2.24931799951803e-11,gene_4834
-1.23583817419594,-1.22872891588613,9.00935473319165e-13,2.17504223149162e-08,gene_4849
-1.12852065663806,-1.16916503535183,2.52962378995237e-42,1.8660543211137e-17,gene_4894
-1.8667445653555,-2.22831304241735,5.80800235908743e-113,2.60888035409412e-42,gene_4901
-1.24100369201512,-1.26489910032704,1.571821469794e-89,6.09669305209576e-158,gene_4910
-1.54204864647348,-1.05479032762017,1.92896747914547e-66,7.34007442714505e-98,gene_4968
-2.80722563091149,-1.67952364265043,2.12806197776031e-270,1.79643552618523e-131,gene_4978
-1.11270556248024,-1.31515892479977,1.06359672271167e-12,5.19366742537153e-17,gene_4987
-2.05279557993175,-1.83269929374171,2.26465762393805e-96,3.75366813733715e-41,gene_5039
-1.61949773611543,-1.14508087525631,1.82481372958519e-15,6.15396050155023e-35,gene_5076
-2.45739753959112,-1.05681138080772,4.29518049896041e-265,5.3311040051815e-37,gene_5107
-1.30523457655889,-1.48249710008538,2.44045437838004e-70,6.99738549387513e-58,gene_5119
-1.96718826311336,-1.18133817111789,1.44374324217397e-195,2.84964104360712e-146,gene_5121
-2.35333628584128,-1.71918293799663,1.09059276051125e-31,2.16637338801982e-18,gene_5142
-1.40505305528121,-1.43408569327827,1.34615061333898e-151,2.51492557685023e-129,gene_5170
-1.54505888225818,-1.23305625374833,1.29420421989584e-16,2.10978637923565e-15,gene_5174
