log2FoldChange,padj,Gene_id
-1.11340308922084,5.18277366330828e-07,gene_4006
-1.11199536427122,0.00409356383063,gene_2920
-1.11151510386154,3.34506778658533e-28,gene_1629
-1.11135123682337,3.30198045202195e-67,gene_6683
-1.11111861561995,6.52377939707714e-71,gene_658
-1.11028229252314,1.02026253025396e-27,gene_1505
-1.10987850985028,1.49540386653929e-11,gene_159
-1.10481132921073,5.0830584971759e-28,gene_1823
-1.10348892751839,2.36195177309084e-65,gene_2706
-1.10117814592127,8.36837493278042e-08,gene_1305
-1.09311752840344,1.81024169626552e-16,gene_3605
-1.09230246712799,7.00023735178871e-26,gene_564
-1.09118274192971,1.10925031489702e-14,gene_5261
-1.08964348197377,1.28098482170786e-13,gene_6715
-1.08946922528894,1.55246818664455e-17,gene_1372
-1.0872822978376,2.47101106666304e-26,gene_1693
-1.08705518856532,5.9596382469769e-15,gene_3429
-1.08536703392223,1.96899333561807e-08,gene_1706
-1.08482675012092,8.52964732638948e-36,gene_3165
-1.08482086169847,1.3509796549553e-16,gene_907
-1.08433972177299,5.93618428431347e-46,gene_1434
-1.08418804729274,3.08655270958516e-11,gene_1320
-1.08356972284994,0.006197171048379,gene_4571
-1.08286361074791,2.00090338881031e-61,gene_3003
-1.08256974401939,2.75537173316306e-14,gene_1908
-1.08252349211662,3.64328198677468e-23,gene_6366
-1.08068555174483,3.26633182593e-41,gene_314
-1.08019677992327,6.58431489057723e-29,gene_1715
-1.07869242269352,1.09804374045169e-50,gene_6843
-1.07761869225591,4.55397160311654e-33,gene_2009
-1.07565322717334,1.65811767696189e-61,gene_3404
-1.07564447602874,5.11804824125966e-51,gene_5120
-1.07536824789384,7.83123609208646e-17,gene_458
-1.0742787423434,3.48905383597733e-34,gene_4540
-1.0705096048876,1.92257915011025e-13,gene_618
-1.06791134042643,5.80377438365232e-86,gene_2681
-1.06231740625256,8.96976454833748e-73,gene_4213
-1.06197238639524,3.33011745943161e-09,gene_7900
-1.05951844423926,3.34101434705039e-98,gene_4154
-1.05906815160638,2.43762054217291e-20,gene_4275
-1.05853445955181,6.58289789379723e-26,gene_784
-1.05538123096931,5.17695197283881e-28,gene_667
-1.05389283785645,5.92905461067801e-21,gene_4274
-1.05266284310058,9.56693904669564e-11,gene_6018
-1.05109789125089,3.07094267629485e-31,gene_5963
-1.05045189092575,1.42625492994022e-49,gene_279
-1.05038937475738,4.70518420541626e-28,gene_7034
-1.05007372617176,4.07792885768872e-46,gene_2495
-1.04827186556451,1.30152339753411e-21,gene_2843
-1.04763887038792,1.74890306793706e-38,gene_7233
-1.04713386873829,1.48943466270134e-12,gene_4794
-1.046788028198,9.69474202427588e-30,gene_2680
-1.04465806462632,5.33362223815614e-10,gene_7508
-1.04462511488257,0.000114634890553,gene_1905
-1.04441028511268,6.39983059838306e-14,gene_1361
-1.04421171710546,1.54923049546449e-18,gene_1162
-1.04407915781662,1.49236516964249e-25,gene_1868
-1.04262222929214,1.16752988438835e-55,gene_1479
-1.03996782174968,1.0898811369029e-52,gene_5437
-1.03785824546962,3.76887119014305e-39,gene_1989
-1.03743738877735,1.77148988950587e-22,gene_2888
-1.03726941521698,9.11282488408539e-27,gene_377
-1.036120418188,5.52026664163192e-30,gene_2688
-1.03314618836632,9.55035839125685e-35,gene_3539
-1.03226313926083,2.81914852578593e-18,gene_4763
-1.03092445338653,0.001278349203987,gene_5881
-1.03045683307177,7.7176558821045e-16,gene_4542
-1.02987881353905,7.30402457876195e-25,gene_2146
-1.02972556655264,1.02394861798464e-07,gene_978
-1.02466676343461,2.92872742813883e-08,gene_517
-1.02178887659368,1.9621040625407e-30,gene_4289
-1.02119929122533,1.90295550619778e-41,gene_5283
-1.01905571042185,4.15417417326646e-35,gene_2368
-1.01832134325499,4.60414334655252e-42,gene_873
-1.01787576385811,2.87540181563057e-40,gene_1112
-1.01723136150129,8.89955815375731e-15,gene_4846
-1.01654568777929,3.88961170679483e-14,gene_3841
-1.01268740443782,2.54979832512705e-38,gene_6237
-1.01079533790017,2.12556140727421e-70,gene_2690
-1.00653329638973,1.83269422590899e-15,gene_1952
-1.00651928595927,2.56595228162895e-11,gene_3358
-1.00510506973195,8.54458203541989e-51,gene_496
-1.00484022043615,9.09122559805023e-10,gene_1070
-1.00096182166548,3.49098669914793e-22,gene_4819
-1.00075593855928,4.66951008734447e-34,gene_815
-1.00024170617486,1.61915816141858e-57,gene_5015
