Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene_7335,23.4362735953452,0.049988413070125,0.481605245721837,0.103795408198268,0.917331710514778,0.939839452623138
gene_4933,990.261137815309,0.050086516566178,0.084018840006932,0.596134349891589,0.551085478503777,0.630151133603342
gene_2951,361.62230982548,0.050112608191918,0.140574320295056,0.356484798124827,0.721477534670215,0.7815907820125
gene_6716,1700.34124513713,0.050130081632832,0.075368086799955,0.665136714507423,0.505963053712753,0.590111190742121
gene_1536,366.355421726303,0.05057406761578,0.123044441585163,0.4110227732699,0.681055836000745,0.746771015024405
gene_1255,3433.72695988778,0.050606911935135,0.055425882169267,0.913055597032895,0.361213301804546,0.450313790563639
gene_305,2619.22020815719,0.050695911934815,0.060083827375293,0.843753038869527,0.398807422459042,0.488105928119198
gene_1668,2326.21835051253,0.050747302835014,0.06645465846762,0.763638005298619,0.445082994358433,0.532484046971106
gene_2629,1911.8972064354,0.050760243594749,0.071507577470937,0.70985824705612,0.477792044519665,0.563940046100919
gene_4992,1364.93810846753,0.050895605200798,0.080909012351788,0.629047416615429,0.529318014063979,0.611186608637196
gene_1886,5791.82430851904,0.05094796675548,0.0524844031115,0.970725848729654,0.331684816346989,0.419747803678125
gene_6302,443.741890084162,0.051176533685123,0.112753523379537,0.453879685097369,0.649915425983359,0.718350517787107
gene_5279,1292.98148677405,0.051241005030053,0.091197498734138,0.561868535226307,0.57420559287875,0.650556379377256
gene_6775,2917.12536436332,0.051582395941254,0.062984773188277,0.818966129909867,0.412805738099307,0.501144645589435
gene_2247,2975.65653081627,0.051628808516023,0.055994175995787,0.922038901329807,0.356508284669531,0.445348230536583
gene_5130,1550.60427982997,0.051814504357671,0.067776475580671,0.764490981771385,0.444574708844521,0.532455755941693
gene_1035,9267.38014678503,0.051967548331571,0.04793512350177,1.08412255013074,0.278310465697677,0.362788726493789
gene_7182,44.4920227502618,0.052000820998437,0.365430930349959,0.142299998931775,0.886843047369811,0.916311813207178
gene_465,7149.55726044102,0.052006650520256,0.054701294475616,0.950738936231928,0.341736917523424,0.429992319204888
gene_4872,1560.92153317672,0.052062887214806,0.078379407288741,0.664241910161585,0.50653549362557,0.590361027931358
gene_2507,4076.24464115341,0.052318373553695,0.054444782649645,0.960943749015699,0.336580451905635,0.424720202710939
gene_5212,1027.19505317336,0.052589219710685,0.089014788294527,0.590791942757652,0.554659834251585,0.632799866283567
gene_4601,468.29152927177,0.052816387097241,0.109820715566198,0.480932826060527,0.630564241588987,0.700957753887791
gene_5309,2172.65001790641,0.052889338101921,0.059956223319552,0.882132582301473,0.377705114365857,0.467223140157577
gene_2584,943.87702036843,0.052903873495697,0.088911284426297,0.595018661996179,0.551830996569462,0.630374731418017
gene_5382,2077.33232091884,0.052903881642845,0.065192850225722,0.811498215826922,0.41707961707913,0.505495281446153
gene_1448,3124.02856119458,0.052939033383063,0.060460236399373,0.875600833469655,0.381247072147977,0.470633089812633
gene_4200,1489.04391680668,0.053059053914205,0.073843377409657,0.718535036931641,0.472427452550213,0.558909147022794
gene_3366,1210.795520004,0.053116392894218,0.074459937473304,0.71335532497944,0.475625910485534,0.561685059462673
gene_1029,2747.50069874212,0.053348268293956,0.063056359690432,0.84604104258259,0.397529848702381,0.486903894954681
gene_5580,3118.20631737384,0.053396503810997,0.061696785749073,0.865466541938917,0.386782772194689,0.476099868251302
gene_3967,3209.61473918952,0.053448033006636,0.068415490874312,0.781227063105148,0.434668959196575,0.522299996176417
gene_6154,1351.04740615439,0.053849077373681,0.074372439509603,0.724046134949333,0.469037412057322,0.555596517570865
gene_684,1790.44262306967,0.054201349868357,0.065220082311138,0.831053073649689,0.405943647673757,0.495001946996931
gene_3866,1351.06572626165,0.054234237342528,0.0850046033725,0.638015297887669,0.523463721887038,0.606125567307106
gene_6645,1859.39031828668,0.054286474361429,0.074452733478741,0.729140111113982,0.465915960765856,0.553191284828624
gene_422,10060.7553991324,0.054331476383306,0.047552389407205,1.14256038572636,0.25322116094851,0.334448786410054
gene_4358,1531.83362799807,0.054508643268246,0.085940626075593,0.634259322480394,0.525911598530049,0.607892207173432
gene_237,4588.03367751787,0.054718220036087,0.052097173033583,1.05031073376697,0.293575271770685,0.37933906924629
gene_1831,622.631277965463,0.054796370492133,0.106730863685099,0.513406980887976,0.607666663404951,0.679976004950846
gene_4651,1835.26287936454,0.054816031648798,0.069936783569889,0.783794004395691,0.433160992471131,0.520812987765913
gene_4385,603.145938254089,0.054817536612507,0.11769246917563,0.465769279856839,0.641380656453233,0.710346318437451
gene_6785,19757.5105414181,0.054831866516136,0.046689663177996,1.17438984957117,0.24023890909234,0.320191502135837
gene_1670,737.38473387516,0.054887567320539,0.097450801654321,0.563233615206539,0.573275815632173,0.650162413076733
gene_20,24771.6978175035,0.054889513288684,0.041355333000069,1.32726565854498,0.184420819585269,0.256477224199598
gene_2579,604.367089752922,0.055017151950069,0.101593387116608,0.541542648705284,0.588133609759459,0.662952244284662
gene_4015,234.157674894047,0.055086949446676,0.155820247580956,0.353528827619504,0.723692020921151,0.783732183655696
