Gene,ATSwo1,ATSwo2,ATSwo3,ATSAc1,ATSAc2,ATSAc3
gene_1129,1881,2239,2225,2344,2555,2302
gene_113,334,356,296,292,293,203
gene_1130,941,1136,995,943,938,965
gene_1131,4014,4958,4220,4235,4533,4190
gene_1132,4391,4735,4507,3848,4589,3891
gene_1133,2051,2012,1982,1855,1902,1937
gene_1134,2218,2577,2300,1761,1677,1608
gene_1135,1475,1511,1302,1255,1543,1509
gene_1136,1167,1348,1125,1030,1317,1027
gene_1137,1467,1578,1545,1222,1075,1027
gene_1138,1178,1310,1113,1258,1459,1388
gene_1139,942,1184,1117,1032,1104,1113
gene_114,973,1172,953,877,1027,827
gene_1140,17706,19108,20453,11471,13214,12176
gene_1143,1804,1851,1703,1368,1396,1269
gene_1144,2011,2195,2105,1596,1867,1500
gene_1145,876,1052,888,697,619,720
gene_1147,8169,9096,8107,6114,6447,6341
gene_1148,3443,3996,3712,3179,3342,2919
gene_1149,2298,2559,2582,1925,2101,2070
gene_115,4695,5474,5136,4780,4938,4939
gene_1150,1472,1726,1602,1570,1719,1613
gene_1151,2113,2411,2271,2125,2397,2214
gene_1152,982,1086,1083,797,851,752
gene_1153,1282,1686,1442,1483,1672,1474
gene_1154,278,341,386,183,306,205
gene_1155,25335,30100,28132,22558,23280,21327
gene_1156,3156,3823,3523,3575,3860,3397
gene_1157,378,492,447,614,599,515
gene_1158,7014,8760,7711,5804,6301,5681
gene_1159,5861,6474,6417,4569,4965,4523
gene_116,4998,5254,5212,3811,4147,4024
gene_1160,3764,4103,3957,3376,3902,4148
gene_1161,636,687,693,342,381,360
gene_1162,465,538,542,294,333,308
gene_1165,1373,1504,1476,1404,1621,1432
gene_1166,4083,4513,4562,4578,5351,4807
gene_1168,1714,1899,1839,1393,1477,1283
gene_1169,923,958,975,782,867,904
gene_117,1563,1733,1619,1508,1579,1277
gene_1170,331,358,363,273,272,288
gene_1171,1966,2471,2073,1967,2364,2018
gene_1172,4825,5620,5125,5276,5530,5539
gene_1173,925,1031,878,965,889,919
