log2FoldChange,padj,Gene_id
-1.24590264686066,1.61931917903853e-59,gene_3046
-3.31093729419885,0.0,gene_306
-1.03317152795338,2.14729029635128e-46,gene_308
-1.53966541914234,3.22435923840344e-45,gene_3087
-1.31876242165638,1.42185449062153e-78,gene_3088
-1.02647046896108,4.10931849538152e-20,gene_312
-1.02706801038061,4.23048070847989e-08,gene_3143
-1.45815101930602,8.91542901784811e-71,gene_3170
-1.03506069125046,4.98520074819439e-89,gene_3171
-1.33121212893338,1.24105839048418e-65,gene_3195
-1.11187109770089,2.33482416845209e-36,gene_3199
-1.57846163947077,4.4543909020028e-150,gene_3222
-1.56273698710858,8.23285869548408e-31,gene_3227
-1.06804506248799,0.003733869871226,gene_3229
-1.87632511976577,1.70720627259531e-06,gene_323
-1.11506084665787,2.0492854666702e-33,gene_3234
-1.5202534344286,1.0806642735471e-177,gene_3235
-1.39441185331455,5.4627032512199e-36,gene_3256
-1.20817276236316,5.42550263545025e-48,gene_3275
-1.06021683860397,3.49263737337767e-57,gene_3288
-1.06643840823828,1.60267477303946e-78,gene_3291
-1.37388985842425,3.23268936494158e-62,gene_3295
-1.6386241390373,4.77045538698142e-67,gene_3334
-1.07777020379271,8.78137574257505e-57,gene_334
-1.07019715963205,1.45176161191643e-24,gene_3347
-1.73758343925987,5.61057810373629e-206,gene_3351
-1.44776260856625,8.05734465988675e-23,gene_3363
-1.34062870888517,5.81819236386293e-55,gene_3368
-1.61481498669629,3.9876474612132e-13,gene_3391
-3.16548462131725,2.52401900347281e-122,gene_3393
-3.61097473203681,0.0,gene_3394
-1.30259323411195,2.91036716529167e-12,gene_3452
-1.4447593380193,6.79365421873681e-08,gene_3457
-1.63251904842836,3.64813237811018e-98,gene_3498
-1.87721715087743,1.60285754828383e-50,gene_3499
-1.76249567354776,9.15797739516136e-48,gene_3501
-1.35714724757456,2.38240031991493e-152,gene_3507
-1.21378662439419,4.13124933084709e-88,gene_3512
-1.00256476434385,1.08563067668634e-39,gene_3514
-1.11411549305846,8.98131816474063e-66,gene_3520
-1.25847343541355,6.42658736738482e-15,gene_3522
-1.60626621034815,2.76978539835316e-87,gene_3565
-2.62250446760048,8.44791421976074e-204,gene_3568
-1.45983509505035,7.36448912467451e-165,gene_3589
-2.05113159273641,1.45593412585829e-54,gene_3597
-1.18313809242359,1.41972046945894e-72,gene_3600
-1.62497683247034,4.57270097424073e-162,gene_3619
-1.57029381328662,1.00820263964675e-159,gene_3620
-1.22257096933477,1.13857109098027e-65,gene_3626
-1.1433793634119,1.6082810981395e-72,gene_3628
-1.40634373681812,3.77616764340057e-29,gene_3639
-1.57044945793911,3.75754949489767e-13,gene_3651
-1.64666655747993,5.43471807400516e-192,gene_366
-1.65363596341128,4.32129500291721e-152,gene_3664
-1.20293938575292,3.62287774173509e-61,gene_367
-1.01484343920707,1.14760654448633e-08,gene_3717
-1.20169143260625,6.76162741302992e-98,gene_3778
-1.20072002914515,4.73742243529717e-114,gene_3779
-1.50228666257764,2.83903318878132e-154,gene_3787
-1.11607921938783,1.48827242380581e-46,gene_3841
-1.63362460529095,3.7910336028394e-164,gene_3854
-1.04817894016435,2.59437140451147e-34,gene_3880
-1.37833868098591,6.42149272422155e-24,gene_3890
-1.51514748057647,1.36803502766593e-05,gene_3891
-1.09793004426732,9.68178870129169e-115,gene_3895
-1.52753437710856,7.22854152788222e-206,gene_3899
-1.15411763246458,1.5603033246458e-79,gene_3906
-1.16013395497239,1.20101748070511e-118,gene_392
-1.13230689869538,1.3953319178269e-59,gene_3926
-1.01917416207177,3.09416942649945e-102,gene_3940
-1.50666216851811,1.7124915232503e-167,gene_3944
-1.01298249057685,9.97961123980345e-58,gene_3954
-1.86987675691183,3.14378292784922e-100,gene_3961
-1.1986403226948,1.65082186833187e-33,gene_3970
-1.08213873460201,5.53139049430573e-51,gene_3971
-1.24747666939847,5.91353662673853e-26,gene_3985
-1.5360845158104,1.00344346678531e-107,gene_3991
-1.05135464856193,2.54697972177178e-61,gene_4002
-1.41953678603724,2.17420352959264e-91,gene_4003
-2.91572298583338,0.0,gene_4019
-1.32016913740676,1.45385411297357e-86,gene_4036
-1.65349377276866,5.74695629142865e-35,gene_4112
-1.13872909255182,3.73201388831968e-89,gene_412
-1.1117799630277,2.3926507169e-102,gene_4154
-1.13350915567052,3.04697070610555e-43,gene_4166
-1.35072457801949,2.61052430544902e-182,gene_4177
-1.4685405834052,1.06785903695742e-28,gene_4181
-1.81146688452133,2.52619498345499e-207,gene_4184
-3.25482383557089,0.0,gene_4185
-2.06658346981428,4.49174115582053e-237,gene_4186
-1.25396083023654,3.47867105110691e-89,gene_4188
-1.41133286535608,9.57835677408213e-15,gene_4226
-1.03373806697254,0.008296197743979,gene_4228
-1.03015112515454,6.24659890132897e-25,gene_4238
-1.02431769291288,2.56301977268069e-83,gene_4249
-1.86198607634335,1.25526476336688e-184,gene_4280
-1.07175930367292,2.79862161285557e-32,gene_4283
-1.77953157144844,9.51876722078326e-16,gene_4293
-1.01515043819095,7.24525286397545e-77,gene_4295
-1.55530663446557,1.58585826454575e-07,gene_4324
-1.15432548610035,4.5497887782122e-98,gene_4330
-1.17303276743529,0.000335454016354,gene_4361
-1.22738420869516,6.93819121690379e-20,gene_440
-1.27305242029228,1.15774988589566e-12,gene_4422
-1.22052734370081,5.18266098553111e-06,gene_4431
-1.55001274388613,1.02575539276543e-96,gene_4432
-1.22914902635038,7.95707507594921e-82,gene_446
