Reaction	Par_wo	Par_Ac	ATS_wo	ATS_Ac
r_0757	0.426300881505665	0.719603629437385	0.420527856568569	1.92868604562401
r_0758	3.17095739301901E-06	4.8004071075911E-06	3.22612922621701E-06	5.19609585675435E-06
r_0759	0.0244429277098712	0.036938747701585	0.0240670568373235	0.091040020564326
r_0760	0.336764214899461	0.57021297410293	0.331946888429513	0
r_0761	0	0	0	0
r_0764	0	0	0	0
r_0765	0	0	0	0
r_0766	0	0	0	0
r_0767	0	0	0	0
r_0768	0	0	0	0
r_0769	0	0	0	0
r_0770	0.263851463407611	0.154524978373551	0.238518835334629	0.210780743625106
r_0771	1.1035617E-13	1.6076029E-13	3.60808605E-12	1.63713487E-12
r_0772	3.3173451E-12	2.69351208E-12	0	9.8299147E-13
r_0773	0.14805382563928	0.0955441950852438	0.134050758625565	0.118723235224421
r_0774	0	0	0	0
r_0775	0	0	0	0
r_0781	0	0	0	0
r_0782	0	0	0	0
r_0783	0	0	0	0
r_0784	0	0	0	0
r_0785	0	0	0	0
r_0786	0	0	0	0
r_0787	0	0	0	0
r_0788	0.561273691478194	0.950354956835265	0.553244814069931	2.56244741882517
r_0789	0.561273691501831	0.950354956841011	0.553244814043814	2.5624474188296
r_0790	0.561273691476307	0.9503549568286	0.553244814072	2.56244741882551
r_0791	0	0	0	0
r_0792	0.561273691507107	0.950354956834989	0.553244814039922	2.56244741883019
r_0793	0	0	0	0
r_0795	1.12580301527789	1.90487409449784	1.10989668514892	5.12905379083726
r_0796	36.5060221625465	24.3882245585889	33.1158653855886	32.4571277715886
r_0797	36.0630318977509	23.6221933492352	32.6792024132895	30.1552795940933
r_0798	36.124329107874	23.7411226564022	32.7396240896762	30.7146671728576
r_0799	36.0177208069996	23.5618563905704	32.6345388791231	30.2352283009549
r_0800	13.0758586864106	9.3520555409749	11.9093407510011	13.8079403554908
r_0801	36.5079037100067	24.3915011503487	33.1177083825381	32.4664106291369
r_0802	0	0	0	0
r_0803	0.377282025440124	0.625225773752177	0.380056658748863	1.59398814894397
r_0804	0.561273691495703	0.950354956821132	0.553244814027906	3.54292435689664
r_0805	0.561273691505808	0.950354956827438	0.553244814029436	2.56244741882524
r_0806	0.56127369149427	0.950354956840524	0.55324481403627	2.56244741882904
r_0807	0.561273691501468	0.950354956818995	0.553244814068651	2.56244741882355
r_0810	0	0	0	0
r_0811	36.5905299633122	24.5030613863346	33.2156709798938	32.5775134212528
r_0812	0	0	0	0
r_0813	0.0204367536260715	0.0286830163269193	0.0201096233797172	0.0720091300968645
r_0815	161.498140876407	104.207873543422	146.219259442022	129.33277651304
r_0816	0.0990482985029771	0.167709698264775	0.0976314377753964	0.424626769167038
r_0817	0.0170465192098909	0.0288633589515976	0.016802673087027	0.0823538430639589
r_0818	0.0244429277098712	0.036938747701585	0.0240670568373235	0.091040020564326
r_0819	0.0244429277094876	0.0369387477015585	0.0240670568364834	0.0910400205643131
r_0820	-0.00830666101461399	-0.0140460068511769	-0.00819061552869858	-0.0426173372084973
r_0821	0.00830666101461399	0.0140460068511769	0.00819061552869858	0.0426173372085105
r_0831	0.299613006993685	0.495953230699975	0.295279882937531	1.14461688136511
r_0832	0.299613006993685	0.495953230699975	0.295279882937531	1.14461688136511
r_0842	0.00592808221967314	0.010011325068063	0.00584312908394294	0.0312376646104094
r_0843	0.00946179520408627	0.016020818557637	0.0093264466295327	0.0452946136852376
r_0844	0.00526625260225734	0.00933610047113931	0.00519092019782403	0.0323532954896209
r_0851	-0.00633151349995842	-0.00691226250000909	-0.00621840375004012	-0.00743510624999999
r_0852	0.000205134934992486	0.000309179376610656	0.000189850931370569	0.0003812875
r_0853	0	0	0	0
r_0855	0.00998764074912239	0.0164553584170083	0.00984209067159734	0.0426173372127472
r_0882	0	0	0	0
r_0883	0.100239378175454	0.169726447827403	0.0988054793564635	0.56754316514245
r_0884	0.56127369150042	0.950354956832617	0.553244814031328	2.56244741882603
r_0885	0	0	0	0
r_0886	0.938115413270792	1.24372865046351	0.938990884559607	2.90336409113157
r_0887	0.938115413237682	1.2437286504612	0.938990884576469	2.90336409113309
r_0888	0	2.196854E-14	0	6.478151E-14
r_0889	0	0	0	0
r_0890	0	0	0	0
r_0891	0.320877265602618	0.517967236004784	0.316237138558035	1.17877758900958
r_0892	-0.0323843225293103	-0.0561777588527548	-0.0338479684963886	-0.1420737929393
r_0893	0.320880181265357	0.517970965362417	0.316240189832491	0.872516147399551
r_0902	-4.53125168994721E-05	-0.000122486842909089	-4.13390925943641E-05	-6.35002500413817E-05
r_0903	0	0	0	0
r_0904	0.0128760717781122	0.0219699127479051	0.0126918828457939	0.0384813667053056
r_0905	0.00592808221967314	0.010011325068063	0.00584312908394294	0.0312376646104094
r_0906	0	0	0	0
r_0907	0	0	0	0
r_0908	0.00998764074912239	0.0164553584170083	0.00984209067159734	0.0426173372127472
r_0909	0.0153567921916672	0.0260022940703586	0.0151371171852049	0.0710288953470124
r_0910	0.0153567921916672	0.0260022940703586	0.0151371171852049	0.0710288953470124
r_0911	0.00998764074912239	0.0164553584170083	0.00984209067159734	0.0426173372127472
r_0912	0.0153567921961898	0.0260022940758103	0.0151371171874668	0.0710288953514002
r_0913	0.00811261093191698	0.0137363645017097	0.00799656209510929	0.0411769215320887
r_0914	0.00998764074912239	0.0164553584170083	0.00984209067159734	0.0426173372127472
r_0915	0.00998764074912239	0.0164553584170083	0.00984209067159734	0.0426173372127472
r_0916	0.0514438953478608	0.0749692691648574	0.0507483188422522	0.16658864346917
r_0917	0.320877265602618	0.517967236004784	0.316237138558035	1.17877758900958
r_0918	0.320877265602618	0.517967236004784	0.316237138558035	1.17877758900958
r_0921	0	0	0	0
r_0922	0	0	0	0
r_0935	5.43340929772E-09	9.5946169901E-09	5.3581014992E-09	1.100033841794E-08
r_0937	0	0	0	0
r_0938	0.00928782676969761	0.0157262532388082	0.00915496676957803	0.0452946136852134
r_0939	0.00987605374039652	0.0167222457925092	0.00973477930307152	0.0473525968979379
r_0941	0.000239636506630741	0.000361204983117135	0.00022178521630583	0.000445444999999999
r_0942	6.7917616222E-10	1.19932712376E-09	6.697626874E-10	1.37504230224E-09
r_0943	0	0	0	0
r_0953	0	0	0	0
r_0954	0	0	0	0
r_0955	0	0	0	0
r_0956	0.155938236201324	0.264036383634115	0.153707579385582	0.711922787228104
r_0957	0.0170465192094963	0.0288633589515585	0.0168026730864834	0.0823538430643131
r_0958	3.3787442126003	3.94550085505624	3.68585791780834	7.69024290412291
r_0959	0.826303525953456	0.669659498407379	0.852776546535399	1.04196541662235
r_0960	0	0	0	0
r_0961	0.875503406151589	0.758359280517987	0.902801091506985	1.74523018850544
r_0962	0.856820450776226	1.44039664177428	0.844511145803947	3.36732523868042
r_0963	0	0	0	0
r_0964	0.56127369150526	0.95035495681985	0.553244814047066	2.56244741882599
r_0967	2.68949259227337E-06	4.749225490218E-06	2.65226024210631E-06	0.000005445
r_0968	1.34474629613668E-06	2.374612745109E-06	1.32613012105315E-06	0.0000027225
r_0974	0.000157350885836866	0.000202882173014416	0.000164468740547963	0.000203742825
r_0975	0	0	0	0
r_0976	0.0169060759186127	0.0284718956662983	0.0166907192864124	0.0856091270667643
r_0977	0	0	0	0
r_0978	0.000163277335195079	0.000143902215702748	0.000170766339938857	0.000141273
r_0979	0	0	0	0
r_0982	0.016629198654784	0.0284830171421654	0.0168579577835704	0.074925090040717
r_0984	-0.000116243189307058	0.00148846518949231	-0.000581215948235375	0.00412135392636381
r_0985	0	0	0	0
r_0986	0.0018199457357579	0.00310166717128056	0.00179391187483558	0.00579639978601953
r_0987	0	0	0	0
r_0988	0.0128367416411004	0.0217353160010897	0.0126531153155693	0.06470659097913
r_0989	0.0394257217812125	0.0584845595017695	0.0388127106306399	0.145562886958052
r_0990	0.374283778532828	0.291399331100983	0.383139822684988	0.338615636659484
r_0992	0.0244711156345905	0.0368257893068038	0.0240939679869819	0.110321246828352
r_0993	0	0	0	0
r_0995	0.0159793396187956	0.0176541564324281	0.0156650244613536	0.01910887
r_0996	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0997	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0998	0	0	0	0
r_0999	0	0	0	0
r_1001	0	0	0	0
r_1002	0	0	0	0
r_1003	0	0	0	0
r_1004	0	0	0	0
r_1005	0	0	0	0
r_1010	0	0	0	0
r_1011	0.0021460119630187	0.00366165212465085	0.00211531380763232	0.00641356111755093
r_1012	0.0021460119630187	0.00366165212465085	0.00211531380763232	0.00641356111755093
r_1021	0.496585968727066	0.810753350196688	0.489422479993764	2.14824852868471
r_1022	1.07558598201863	1.91005707291598	1.08828591483288	3.69213066393953
r_1023	0	0	0	0
r_1024	0	0	0	0
r_1025	0.0969300941578657	0.159699320495307	0.0955175300743143	0.515797892900487
r_1026	0.108470764975327	0.178713407952272	0.106890018481274	0.577209714892285
r_1027	0.0169319169377712	0.0285945636705949	0.0166892719485597	0.100654697078517
r_1028	0	0	0	0
r_1029	0	0	0	0
r_1030	0	0	0	0
r_1031	0	0	0	0
r_1032	0	0	0	0
r_1033	0	0	0	0
r_1034	0	0	0	0
r_1035	0	0	0	0
r_1038	0.100239378175454	0.169726447827403	0.0988054793564635	0.567543165142416
r_1039	0	0	0	0
r_1041	0.0331380046022182	0.049099460391253	0.0326228029424799	0.121084298020088
r_1042	0.000242584081845505	0.000365642390772136	0.000224517848070424	0.000450944999999999
r_1043	0	0	0	0
r_1045	0.00830666101456156	0.014046006851032	0.00819061552862952	0.0426173372084342
r_1047	0	0	0	0
r_1048	0.215083094945498	0.18957977607927	0.231088144670828	0.214088999412461
r_1049	0.672831555136593	0.582976286913645	0.701552414728638	0.682854938436043
r_1050	227.704060042707	0.344503859659696	204.795995782412	-126.891680506402
r_1051	0.227649275816116	0.378472318836097	0.230769695272884	0.983320162059758
r_1054	0.0273453183575806	0.0270011677146825	0.0269544148896862	0.0710244369555295
r_1055	0.00811261093191698	0.0137363645017097	0.00799656209510929	0.0411769215320887
r_1056	0.00811261093143829	0.0137363645017097	0.00799656209510929	0.0411769215318839
r_1057	0.000130030175188457	0.000195989502427127	0.000120342959672137	0.00024170575
r_1063	0.00552655349997622	0.0146278275000213	0.00542821500005175	0.00649023375001434
r_1065	0	0	0	0
r_1066	0.000179055006824988	0.000269890329373398	0.000165726079370401	0.000332832499999999
r_1067	0	0	0	0
r_1068	0	0	0	0
r_1069	0	0	0	0
r_1070	0	0	0	0
r_1071	-1000	-1000	-1000	-1000
r_1072	0.561273691476397	0.950354956828663	0.553244814072047	2.56244741882563
r_1073	0	0	0	0
r_1074	0	0	0	0
r_1075	0.168382107447208	0.142553243526609	0.165973444213315	0.539884624066884
r_1076	0	0	0	0
r_1077	7.35811226621508	4.74774660850222	6.66217981554666	5.89407327229965
r_1078	7.35663959199438	4.7467963805649	6.66084642731077	5.89289361515598
r_1079	0.33676421487172	0.570212974103508	0.331946888450271	1.53746845129395
r_1080	0.336764214906432	0.570212974099572	0.331946888419	1.53746845129559
r_1081	1.35835232443E-09	2.39865424752E-09	1.3395253748E-09	2.75008460449E-09
r_1082	0	0	0	0
r_1083	1.35835232443E-09	2.39865424752E-09	1.3395253748E-09	2.75008460449E-09
r_1084	999.469651710924	999.643616891181	999.519812539933	999.039082217939
r_1085	0.561273691469558	0.95035495682955	0.553244814076164	2.5624474188238
r_1086	0.561273691507507	0.950354956835218	0.553244814042208	2.5624474188235
r_1087	0	0	0	0
r_1088	0	-0.0402429883303633	0	-0.0914818905641737
