Rxns	ranges	m1000lux	maxFlux
t_0535_EXP_2	0.00359398599440775	0	0.00359398599440775
t_0538_EXP_1	0.00358967153499305	0	0.00358967153499305
t_0538_EXP_2	0.00358967153614387	0	0.00358967153614387
t_0541	0	0	0
t_0544	0	0	0
t_0546	0.00383474459936094	0	0.00383474459936094
t_0547	0.00383505107571272	0	0.00383505107571272
t_0549	0.00381273534451224	0	0.00381273534451224
t_0550	0.00381496675140336	0	0.00381496675140336
t_0557	0.101731418084458	0	0.101731418084458
t_0566	0.101731418084642	0	0.101731418084642
t_0570	1000	0	1000
t_0570_REV	1000	0	1000
t_0571	1000	0	1000
t_0571_REV	1000	0	1000
t_0572	1000	0	1000
t_0572_REV	1000	0	1000
t_0573	1000	0	1000
t_0573_REV	1000	0	1000
t_0574	1000	0	1000
t_0574_REV	1000	0	1000
t_0575	1000	0	1000
t_0575_REV	1000	0	1000
t_0577	1000	0	1000
t_0577_REV	1000	0	1000
t_0578	1000	0	1000
t_0578_REV	1000	0	1000
t_0581	1000	0	1000
t_0581_REV	1000	0	1000
t_0584	1000	0	1000
t_0584_REV	1000	0	1000
t_0587	1000	0	1000
t_0587_REV	1000	0	1000
t_0590	1000	0	1000
t_0590_REV	1000	0	1000
t_0593	1000	0	1000
t_0593_REV	1000	0	1000
t_0596	1000	0	1000
t_0596_REV	1000	0	1000
t_0599	1000	0	1000
t_0599_REV	1000	0	1000
t_0602	1000	0	1000
t_0602_REV	1000	0	1000
t_0605	1000	0	1000
t_0605_REV	1000	0	1000
t_0608	1000	0	1000
t_0608_REV	1000	0	1000
t_0611	1000	0	1000
t_0611_REV	1000	0	1000
t_0614	1000	0	1000
t_0614_REV	1000	0	1000
t_0616	1000	0	1000
t_0616_REV	1000	0	1000
t_0617	1000	0	1000
t_0617_REV	1000	0	1000
t_0619	1000	0	1000
t_0619_REV	1000	0	1000
t_0620	1000	0	1000
t_0620_REV	1000	0	1000
t_0623	1000	0	1000
t_0623_REV	1000	0	1000
t_0626	1000	0	1000
t_0626_REV	1000	0	1000
t_0628	1000	0	1000
t_0628_REV	1000	0	1000
t_0629	1000	0	1000
t_0629_REV	1000	0	1000
t_0631	1000	0	1000
t_0631_REV	1000	0	1000
t_0632	1000	0	1000
t_0632_REV	1000	0	1000
t_0634	1000	0	1000
t_0634_REV	1000	0	1000
t_0635	1000	0	1000
t_0635_REV	1000	0	1000
t_0637	1000	0	1000
t_0637_REV	1000	0	1000
t_0638	1000	0	1000
t_0638_REV	1000	0	1000
t_0640	1000	0	1000
t_0640_REV	1000	0	1000
t_0641	1000	0	1000
t_0641_REV	1000	0	1000
t_0643	1000	0	1000
t_0643_REV	1000	0	1000
t_0644	1000	0	1000
t_0644_REV	1000	0	1000
t_0647	1000	0	1000
t_0647_REV	1000	0	1000
t_0650	1000	0	1000
t_0650_REV	1000	0	1000
t_0652	1000	0	1000
t_0652_REV	1000	0	1000
t_0653	1000	0	1000
t_0653_REV	1000	0	1000
t_0655	1000	0	1000
t_0655_REV	1000	0	1000
t_0656	1000	0	1000
t_0656_REV	1000	0	1000
t_0658	1000	0	1000
t_0658_REV	1000	0	1000
t_0659	1000	0	1000
t_0659_REV	1000	0	1000
t_0661	1000	0	1000
t_0661_REV	1000	0	1000
t_0662	1000	0	1000
t_0662_REV	1000	0	1000
t_0665	1000	0	1000
t_0665_REV	1000	0	1000
t_0668	1000	0	1000
t_0668_REV	1000	0	1000
t_0670	1000	0	1000
t_0670_REV	1000	0	1000
t_0671	1000	0	1000
t_0671_REV	1000	0	1000
t_0673	1000	0	1000
t_0673_REV	1000	0	1000
t_0674	1000	0	1000
t_0674_REV	1000	0	1000
t_0676	1000	0	1000
t_0676_REV	1000	0	1000
t_0677	1000	0	1000
t_0677_REV	1000	0	1000
t_0679	1000	0	1000
t_0679_REV	1000	0	1000
t_0680	1000	0	1000
t_0680_REV	1000	0	1000
t_0682	1000	0	1000
t_0682_REV	1000	0	1000
t_0683	1000	0	1000
t_0683_REV	1000	0	1000
t_0685	1000	0	1000
t_0685_REV	1000	0	1000
t_0686	1000	0	1000
t_0686_REV	1000	0	1000
t_0688	1000	0	1000
t_0688_REV	1000	0	1000
t_0689	1000	0	1000
t_0689_REV	1000	0	1000
t_0691	1000	0	1000
t_0691_REV	1000	0	1000
t_0692	1000	0	1000
t_0692_REV	1000	0	1000
t_0694	1000	0	1000
t_0694_REV	1000	0	1000
t_0695	1000	0	1000
t_0695_REV	1000	0	1000
t_0697	1000	0	1000
t_0697_REV	1000	0	1000
t_0698	1000	0	1000
t_0698_REV	1000	0	1000
t_0701	1000	0	1000
t_0701_REV	1000	0	1000
t_0704	1000	0	1000
t_0704_REV	1000	0	1000
t_0707	1000	0	1000
t_0707_REV	1000	0	1000
t_0709	1000	0	1000
t_0709_REV	1000	0	1000
t_0710	1000	0	1000
t_0710_REV	1000	0	1000
t_0713	1000	0	1000
t_0713_REV	1000	0	1000
t_0716	1000	0	1000
t_0716_REV	1000	0	1000
t_0718	1000	0	1000
t_0718_REV	1000	0	1000
t_0719	1000	0	1000
t_0719_REV	1000	0	1000
t_0721	1000	0	1000
t_0721_REV	1000	0	1000
t_0722	1000	0	1000
t_0722_REV	1000	0	1000
t_0725	1000	0	1000
t_0725_REV	1000	0	1000
t_0728	1000	0	1000
t_0728_REV	1000	0	1000
t_0731	1000	0	1000
t_0731_REV	1000	0	1000
t_0734	1000	0	1000
t_0734_REV	1000	0	1000
t_0737	1000	0	1000
t_0737_REV	1000	0	1000
t_0740	1000	0	1000
t_0740_REV	1000	0	1000
t_0743	1000	0	1000
t_0743_REV	1000	0	1000
t_0746	1000	0	1000
t_0746_REV	1000	0	1000
t_0749	1000	0	1000
t_0749_REV	1000	0	1000
t_0752	1000	0	1000
t_0752_REV	1000	0	1000
t_0754	1000	0	1000
t_0754_REV	1000	0	1000
t_0755	1000	0	1000
t_0755_REV	1000	0	1000
t_0757	1000	0	1000
t_0757_REV	1000	0	1000
t_0758	1000	0	1000
t_0758_REV	1000	0	1000
t_0760	1000	0	1000
t_0760_REV	1000	0	1000
t_0761	1000	0	1000
t_0761_REV	1000	0	1000
t_0763	1000	0	1000
t_0763_REV	1000	0	1000
t_0764	1000	0	1000
t_0764_REV	1000	0	1000
t_0767	1000	0	1000
t_0767_REV	1000	0	1000
t_0770	1000	0	1000
t_0770_REV	1000	0	1000
t_0773	1000	0	1000
t_0773_REV	1000	0	1000
t_0776	1000	0	1000
t_0776_REV	1000	0	1000
t_0779	1000	0	1000
t_0779_REV	1000	0	1000
t_0782	1000	0	1000
t_0782_REV	1000	0	1000
t_0787	1000	0	1000
t_0787_REV	1000	0	1000
t_0788	1000	0	1000
t_0788_REV	1000	0	1000
t_0789	1000	0	1000
t_0789_REV	1000	0	1000
t_0796	1000	0	1000
t_0796_REV	1000	0	1000
t_0797	1000	0	1000
t_0797_REV	1000	0	1000
t_0798	1000	0	1000
t_0798_REV	1000	0	1000
t_0802	1000	0	1000
t_0802_REV	1000	0	1000
t_0803	1000	0	1000
t_0803_REV	1000	0	1000
t_0874	1000	0	1000
t_0874_REV	1000	0	1000
t_0875	1000	0	1000
t_0875_REV	1000	0	1000
t_0879	1000	0	1000
t_0879_REV	1000	0	1000
t_0880	1000	0	1000
t_0880_REV	1000	0	1000
t_0881_EXP_1	432.8955061146	0	432.8955061146
t_0881_EXP_2	436.574548174969	0	436.574548174969
t_0881_EXP_3	1000	0	1000
t_0881_EXP_4	1000	0	1000
t_0881_EXP_5	436.574548174969	0	436.574548174969
t_0881_REV_EXP_1	1000	0	1000
t_0881_REV_EXP_2	1000	0	1000
t_0881_REV_EXP_3	1000	0	1000
t_0881_REV_EXP_4	1000	0	1000
t_0881_REV_EXP_5	1000	0	1000
t_0882	1000	0	1000
t_0882_REV	1000	0	1000
t_0886	16.7675951287616	0	16.7675951287616
t_0886_REV	16.7676564451046	0	16.7676564451046
t_0887	16.7676051242939	0	16.7676051242939
t_0887_REV	16.7676564451046	0	16.7676564451046
t_0892	16.7676564451043	0	16.7676564451043
t_0892_REV	16.7676564451043	0	16.7676564451043
t_0893	16.7676564451047	0	16.7676564451047
