Reaction	Log10_ParWo	Log10_ParAc	Log10_ATSWo	Log10_ATSAc
r_0081	-7.96389758274682	-7.71694236162808	-7.96995906808975	-7.65756395819731
r_0085	NA	NA	NA	NA
r_0086	NA	NA	NA	NA
r_0088	NA	NA	NA	NA
r_0089	NA	NA	NA	NA
r_0090	-0.250825313944232	0.278915839898525	-0.257082648309119	0.408654962474248
r_0091	NA	NA	NA	NA
r_0092	NA	NA	NA	NA
r_0095	NA	NA	NA	NA
r_0096	-1.7268739855191	-1.49816282736073	-1.7331313199097	-1.08431612955207
r_0097	-1.7268739855191	-1.49816282736073	-1.7331313199097	-1.08431612955207
r_0099	NA	NA	NA	NA
r_0100	-1.40942833450872	-1.46716670964338	-1.40773363157973	-1.12645264915179
r_0101	NA	NA	NA	NA
r_0102	-1.56670034631745	-1.28179198106422	-1.57295434339428	-0.839261907759695
r_0103	-1.78527483031138	-1.45023906738616	-1.78692320507657	-1.0505695233294
r_0104	0.94449225232219	0.682035064030124	0.827873299206207	0.77368010953483
r_0105	-1.86773034196898	-1.28179198106137	-1.87398433903957	-1.14029190342346
r_0106	-1.86773034196898	-1.58282197672422	-1.87398433903957	-1.15294132157114
r_0107	-1.56670034630722	-1.58282197672422	-1.57295434338564	-1.14029190342346
r_0108	NA	NA	NA	NA
r_0109	-0.956973902878702	-0.658936253272888	-0.963231237270092	-0.228719285664192
r_0111	-0.269384862197307	-0.0221141557711757	-0.264286987323644	0.266247066576388
r_0112	-0.0464841283342938	-0.0805456680448069	-0.0394947180215989	0.250909856476608
r_0113	-0.250825313920413	-0.022114155760258	-0.257082648329193	0.408654962475005
r_0114	NA	NA	NA	NA
r_0115	-1.61184677665817	-1.43251783210938	-1.61857701639145	-1.04076765284957
r_0118	-1.61184677665817	-1.43251783210938	-1.61857701639145	-1.04076765284957
r_0120	-1.86773034196898	-1.58282197672422	-1.87398433903957	-1.15294132157114
r_0121	-1.86773034196898	-1.58282197672422	-1.87398433903957	-1.14029190342346
r_0122	NA	NA	NA	NA
r_0123	-1.86773034196898	-1.58282197672422	-1.87398433903957	-1.14029190342346
r_0124	-1.71045833016103	-1.46716670964338	-1.70876362724105	-1.12645264915179
r_0125	-1.86773034196898	-1.58282197672422	-1.87398433903957	-1.14029190342346
r_0126	-0.939678948177774	-1.10411503725396	-0.980816304823051	-0.963876087292641
r_0127	-0.939678948177506	-1.10411503725468	-0.980816304824202	-0.963876087295806
r_0128	-0.939678948178356	-1.10411503725082	-0.980816304822511	-0.963876087292321
r_0129	-0.939678948180836	-1.1041150372508	-0.980816304822341	-0.963876087292365
r_0130	-0.939678948177415	-1.10411503725215	-0.980816304822528	-0.963876087292972
r_0131	-2.43028709646946	-2.18597691439684	-2.43654443087588	-1.69613595817194
r_0132	-2.43028709644907	-2.18597691439622	-2.43654443088319	-1.69613595817191
r_0133	-2.4302870964664	-2.18597691439627	-2.43654443087634	-1.69613595817246
r_0134	-2.43028709646678	-2.18597691439495	-2.43654443088147	-1.69613595817049
r_0135	-2.43028709646488	-2.18597691439975	-2.43654443088325	-1.69613595817136
r_0137	NA	NA	NA	NA
r_0139	NA	NA	NA	NA
r_0142	-1.50650511644569	-1.27780705806608	-1.51275914640626	-0.711916600500883
r_0143	-0.551855309608922	-0.323144151425541	-0.558112643972016	0.107624966810894
r_0144	-1.50650511644569	-1.27780705806608	-1.51275914640626	-0.711916600500883
r_0145	NA	NA	NA	NA
r_0146	NA	NA	NA	NA
r_0147	-0.472674063543842	-0.243962905386374	-0.478931397954159	0.186806212857907
r_0148	0.502352573370481	0.736950744178547	0.51402369572926	0.919438261172479
r_0149	0.0502046817388592	0.278915839900727	0.0439473473331874	0.666388326893258
r_0150	-0.375764050528286	0.15397710328926	-0.0809913892545784	0.584746221529724
r_0151	-2.00053708741397	-1.78369265382335	-2.0069126382866	-1.37041368906427
r_0152	-0.551855309601128	-0.323144151420507	-0.55811264396751	0.107624966812307
r_0153	-0.551855309601128	-0.323144151420507	-0.55811264396751	0.107624966812307
r_0154	-0.998961636106152	-0.770250477950257	-1.00521897051063	-0.246001102116743
r_0156	0.45520940349009	0.311803573988409	0.414976644890971	0.480589875902663
r_0157	-3.59341489215234	-3.41521726175806	-3.62704315100569	-3.32418042979415
r_0163	3	3	3	3
r_0164	NA	NA	NA	NA
r_0165	2.99989729947822	2.9701176771437	2.99987405477918	3
r_0166	-1.90394130708241	-1.67523014892402	-1.60916864582851	-0.917984707784704
r_0167	-1.90394130708531	-1.6752301489311	-1.91019864152072	-1.21901470345267
r_0168	-1.9134887235277	-1.68477756533696	-1.91974605790291	-1.21901470345139
r_0169	NA	NA	NA	NA
r_0170	NA	NA	NA	NA
r_0171	NA	NA	NA	NA
r_0172	NA	NA	NA	NA
r_0173	0.387157047908358	0.259710015206043	0.401235169088059	0.425164902065545
r_0174	0.0158354262720589	0.0747557920533043	0.0212314048614577	0.340108153353617
r_0175	-0.941898051370602	-0.867640360389349	-0.997614510378358	-0.537882869656274
r_0176	NA	NA	NA	NA
r_0177	NA	NA	NA	NA
r_0178	NA	NA	NA	NA
r_0179	-1.5624732365738	-1.33021592920053	-1.56873057097583	-1.21901470345044
r_0180	-1.86350323224574	-1.63124592486314	-1.8697605666302	-1.21901470345033
r_0181	-1.87397118855825	-1.6417986708649	-1.88022852299043	-1.21901470345167
r_0182	-1.76304707001768	-1.53433591184988	-1.76930440440175	-1.12210469044079
r_0183	-1.76304707001956	-1.53433591185774	-1.7693044044177	-1.12210469044234
r_0184	-1.77619841856807	-1.54748726037909	-1.78245575293255	-1.12210469044365
r_0185	NA	NA	NA	NA
r_0186	-2.10685700199067	-1.87814584383142	-2.11311433639337	-1.404651280414
r_0187	-2.10685700199466	-1.87814584382949	-2.11311433640934	-1.40465128041363
r_0188	NA	NA	NA	NA
r_0189	NA	NA	NA	NA
r_0190	NA	NA	NA	NA
r_0191	-1.07473405486463	-0.846022896701189	-1.08099138925935	-0.267699041075362
r_0192	NA	NA	NA	NA
r_0193	-0.676794046190075	-0.448082888005361	-0.683051380590687	-0.0173137697979692
r_0194	-0.676794046217539	-0.448082888034161	-0.683051380605869	-0.0173137697979349
r_0195	-0.642203371813829	-0.421399369206592	-0.62227482917897	-0.00705143092058808
r_0198	NA	NA	NA	NA
r_0201	NA	NA	NA	NA
r_0202	-2.09083935160421	-1.86212819346007	-2.0970966860116	-1.38534612521683
r_0203	-2.09083935160421	-1.86212819346007	-2.0970966860116	-1.38534612521683
r_0205	NA	NA	NA	NA
r_0206	-1.00415298057085	-0.775441822420272	-1.01041031497755	-0.371992630671516
r_0207	-14.058640905888	-13.5761633958535	-14.9962200251104	-13.8885553359927
r_0208	-14.1484097962071	-13.6043416776659	NA	-13.8473799446433
r_0209	-3.61085461119401	-3.43266270692386	-3.6444690608768	-3.34160697372088
r_0210	NA	NA	NA	NA
r_0211	-0.6767940461923	-0.44808288803014	-0.683051380593184	-0.0173137697977215
r_0212	-3.69142504509355	-3.51323977256343	-3.72506373439791	-3.42220671144404
r_0213	NA	NA	NA	NA
r_0214	-1.58211491732093	-1.35908993748598	-1.58694956529886	-0.887873985257322
r_0215	-1.6509832373058	-1.42227207915112	-1.65724057169723	-0.972473680436077
r_0216	-0.0667730680669563	2.411649530681	-0.0445804945561795	NA
r_0217	3.47711172290661	3.22455459773959	3.47711189300839	3.47711257504002
r_0218	-1.41647989478017	-0.733235931230363	-1.42244076626551	-0.156504786077604
r_0219	-1.6509832373058	-1.42227207915112	-1.65724057169723	-0.972473680436077
r_0220	-1.81918961265847	-1.77589971324125	-1.82781663254275	-1.74151638750503
r_0225	-1.8136994925695	-1.58498833440815	-1.8199568269343	-1.14856493949418
r_0226	0.0562608139790367	0.235716085285372	0.0554611314935714	0.62444757170087
r_0227	-0.250825313920011	-0.0221141557680906	-0.257082648359566	0.408654962474665
r_0228	NA	NA	NA	NA
r_0229	NA	NA	NA	NA
r_0230	NA	NA	NA	NA
r_0231	-2.68752956319717	-2.45562904346276	-2.69378689763418	-2.20194338195216
