Gene	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_569	296	350	335
gene_570	1183	1262	1082
gene_571	2048	2480	2140
gene_572	867	807	889
gene_573	804	766	800
gene_574	1736	2045	1802
gene_575	4638	4690	4664
gene_576	2375	2502	2157
gene_577	977	1085	960
gene_578	704	1045	772
gene_579	2147	2447	2145
gene_580	5713	7082	6507
gene_581	1139	1230	1114
gene_582	1253	1309	1320
gene_583	1247	1398	1256
gene_584	3401	3871	3298
gene_585	1024	1011	1148
gene_586	1067	1012	933
gene_587	3532	3709	3514
gene_588	1510	1594	1525
gene_589	4075	4836	4628
gene_590	5243	5167	4963
gene_591	23546	25986	23645
gene_592	1873	1910	1539
gene_593	2744	2880	2636
gene_594	13237	14653	13463
gene_595	2079	1833	2017
gene_596	2329	2573	2474
gene_597	3283	4086	3687
gene_598	18568	20248	18169
gene_599	969	1024	930
gene_601	2188	2352	1972
gene_602	3559	4104	3709
gene_603	222	264	239
gene_604	1554	1663	1625
gene_605	695	650	620
gene_606	994	1041	895
gene_607	7036	7499	6490
gene_608	0	0	0
gene_609	378	488	346
gene_610	870	896	829
gene_611	874	1003	993
gene_612	4359	4842	4338
gene_613	1692	2129	1914
gene_614	640	701	588
gene_615	54	83	64
gene_616	219	230	168
gene_617	445	460	560
gene_618	171	169	174
gene_619	2241	2295	2401
gene_620	1896	2002	1984
gene_621	2901	3122	3088
gene_622	90	116	75
gene_623	21958	22085	20375
gene_624	915	1001	987
gene_625	2837	3062	2719
gene_626	110	151	106
gene_627	571	703	699
gene_628	1244	1120	1147
gene_629	1930	1993	2006
gene_630	1074	1227	1004
gene_631	1866	2282	1917
gene_632	2928	3160	2980
gene_633	2169	2578	2290
gene_634	35	14	22
gene_635	1343	1337	1374
gene_636	1556	1915	1670
gene_637	1557	1622	1682
gene_638	2201	1928	1981
gene_639	3600	3686	3588
gene_640	979	1090	888
gene_641	838	953	800
gene_642	28680	31178	27930
gene_643	5100	5516	5199
gene_644	338	301	328
gene_645	162	202	189
gene_646	999	1136	1017
gene_647	3732	3971	3730
gene_648	487	552	634
gene_649	182	178	162
gene_650	3601	3826	3508
gene_651	0	0	0
gene_652	1515	1591	1514
gene_653	30923	33706	31700
gene_654	466	538	539
gene_655	2312	2112	2232
gene_656	330	260	251
gene_657	164	177	154
gene_658	4775	5044	4829
gene_659	843	890	1009
gene_660	598	632	518
gene_661	667	756	686
gene_662	1502	1819	1724
gene_663	502	600	541
gene_664	3480	4013	3678
gene_665	518	644	617
gene_666	1197	1315	1162
gene_667	501	637	515
gene_668	706	909	740
gene_669	1504	1645	1491
gene_670	473	492	544
gene_671	687	773	750
gene_672	1124	1186	1149
gene_673	674	545	539
gene_674	1223	1349	1230
gene_675	2219	2371	2122
gene_676	5678	6704	6001
gene_677	1605	1680	1373
gene_678	488	582	471
gene_679	3533	3962	3676
gene_680	682	790	830
gene_682	623	693	595
gene_683	6904	7680	7571
gene_684	1678	1744	1615
gene_685	2325	2436	2341
gene_686	598	562	540
gene_687	2044	2474	2142
gene_688	34	40	12
gene_689	1652	1803	1699
gene_690	3817	4334	3572
gene_691	2377	2594	2463
gene_692	4	9	6
gene_693	1564	1276	1285
gene_695	3137	3290	3238
gene_696	458	518	446
gene_697	28	23	26
gene_698	2252	2269	2252
gene_699	2640	2890	2961
gene_700	2222	2764	2334
gene_701	323	418	368
gene_702	723	804	853
gene_703	1	4	15
gene_704	565	649	739
gene_705	768	871	733
gene_706	1828	1894	1666
gene_707	3768	4015	3771
gene_708	2226	2193	2150
gene_709	1769	1935	1819
gene_710	1541	1843	1698
gene_711	2603	2920	2820
gene_712	1415	1192	1170
gene_713	377	354	430
gene_714	541	459	616
gene_715	102	49	64
gene_716	9403	10215	9374
gene_718	117	139	126
gene_720	724	905	715
gene_721	647	600	696
gene_722	627	708	649
gene_723	303	390	310
gene_724	78971	81462	77764
gene_725	12856	14377	13151
gene_726	5645	6125	5741
gene_727	1382	1468	1331
gene_728	1338	1642	1584
gene_729	0	0	0
gene_730	0	0	0
gene_732	12	8	8
gene_734	2720	2896	2887
gene_735	25	9	14
gene_736	10	16	0
gene_737	173	145	215
gene_738	858	967	950
gene_739	168	317	253
gene_740	1572	1734	1651
gene_741	1835	1986	1935
gene_742	3986	4308	4034
gene_744	5477	5977	5593
gene_745	2217	2293	2121
gene_746	2326	2566	2333
gene_748	2225	2455	2283
gene_749	2762	3097	2832
gene_750	1466	1523	1423
gene_751	12381	13303	12285
gene_752	50	11	20
gene_753	7733	8294	7140
gene_755	0	0	0
gene_756	0	1	0
gene_757	0	0	0
gene_758	0	0	0
gene_759	1827	2001	1952
gene_760	2951	3407	3123
gene_761	3359	3674	3261
gene_762	11	20	38
gene_763	1860	1906	1766
gene_764	91	61	92
gene_765	328	275	250
gene_766	0	0	0
gene_768	1755	1880	1830
gene_769	1614	1627	1529
gene_770	1649	1462	1478
gene_771	3672	3872	3394
gene_772	2684	2828	2777
gene_773	472	503	557
gene_775	3064	3180	3066
gene_777	5161	5619	5472
gene_778	5041	5619	5062
gene_779	1123	1090	1197
gene_780	4062	4995	4564
gene_781	460	510	546
gene_782	104	125	160
gene_783	2953	3331	3025
gene_784	469	527	403
gene_785	0	0	1
gene_787	2719	3003	3015
gene_788	3356	3615	3628
gene_789	2201	2443	2011
gene_790	375	424	482
gene_791	602	756	704
gene_792	517	359	496
gene_793	28	21	18
gene_794	806	749	898
gene_795	1572	1893	1770
gene_796	46	49	34
gene_798	5	10	25
gene_799	217	224	272
gene_800	3039	3447	3147
gene_801	509	611	546
gene_802	99	101	126
gene_803	105	71	66
gene_804	145	208	186
gene_805	6301	6558	6031
gene_806	1704	2047	2000
gene_807	1788	1883	1671
gene_808	1066	1142	1102
gene_810	4703	5295	4769
gene_811	554	534	458
gene_812	13	8	16
gene_813	916	1015	1049
gene_814	1478	1762	1554
gene_815	668	816	701
gene_816	14399	16155	15081
