Gene	Par_Ac_1	Par_Ac_2	Par_Ac_3
gene_757	0	0	0
gene_758	0	0	0
gene_759	2961	3008	2601
gene_760	3602	3708	3019
gene_761	4262	4478	4297
gene_762	22	18	26
gene_763	1976	2187	1669
gene_764	100	111	99
gene_765	215	167	150
gene_766	0	0	0
gene_768	1443	1576	1229
gene_769	1534	1423	1548
gene_770	1986	1947	1857
gene_771	3097	3216	2718
gene_772	2353	2297	1884
gene_773	787	770	615
gene_775	4147	4274	3880
gene_777	3549	3532	3463
gene_778	26159	25910	23769
gene_779	2246	2192	1844
gene_780	4347	4337	3627
gene_781	578	498	433
gene_782	121	104	91
gene_783	4337	4548	3656
gene_784	1025	981	922
gene_785	0	2	0
gene_787	2777	2695	2946
gene_788	3676	3501	2940
gene_789	1591	1579	1362
gene_790	399	394	302
gene_791	1030	942	722
gene_792	602	460	357
gene_793	50	41	8
gene_794	953	973	826
gene_795	1699	1813	1526
gene_796	40	58	43
gene_798	59	27	12
gene_799	248	317	230
gene_800	3857	3717	3232
gene_801	500	591	505
gene_802	116	99	87
gene_803	88	119	84
gene_804	295	324	279
gene_805	7878	7862	6830
gene_806	191	148	134
gene_807	1364	1569	1127
gene_808	955	986	820
gene_810	3873	4135	3341
gene_811	671	753	512
gene_812	12	11	9
gene_813	962	850	754
gene_814	1517	1609	1368
gene_815	1522	1486	1386
gene_816	18692	17322	17441
gene_817	853	901	750
gene_818	2919	3173	2594
gene_819	1990	2190	1783
gene_820	3650	3505	3028
gene_821	70	82	52
gene_823	2295	2400	2209
gene_824	3843	3770	3292
gene_825	1350	1376	1076
gene_826	299	420	294
gene_827	1791	1726	1514
gene_828	3655	3732	3005
gene_829	97	96	134
gene_830	3260	3656	2865
gene_832	39179	36332	38732
gene_833	2073	1907	1769
gene_834	9288	8647	8472
gene_835	722	823	691
gene_836	55	36	39
gene_837	5454	5446	4336
gene_839	264	315	225
gene_840	687	712	751
gene_841	304	327	278
gene_842	1081	1092	968
gene_843	493	550	431
gene_844	742	674	549
gene_845	5595	5361	4670
