Gene	ATS_wo_1	ATS_wo_2	ATS_wo_3
gene_579	2405	2601	2384
gene_580	9410	10862	10065
gene_581	1176	1312	1154
gene_582	1451	1608	1403
gene_583	1245	1562	1467
gene_584	3504	4285	3737
gene_585	825	1100	895
gene_586	1022	1206	1259
gene_587	4379	4759	4659
gene_588	1791	1750	1724
gene_589	4093	4594	4329
gene_590	2918	2551	2995
gene_591	26169	27844	27070
gene_592	1944	2230	2129
gene_593	3800	3819	3944
gene_594	13171	16368	13533
gene_595	1857	2314	2246
gene_596	2862	3432	3007
gene_597	4306	4995	4756
gene_598	18647	21976	19947
gene_599	867	1109	1011
gene_601	2057	2493	2189
gene_602	3225	4067	3159
gene_603	147	186	205
gene_604	1479	1760	1823
gene_605	645	874	946
gene_606	933	1189	1032
gene_607	7276	8033	7681
gene_608	0	0	0
gene_609	459	536	431
gene_610	875	1109	902
gene_611	1052	1083	959
gene_612	5409	5849	5654
gene_613	1933	2187	1869
gene_614	530	650	554
gene_615	31	47	36
gene_616	139	186	173
gene_617	386	597	441
gene_618	244	229	209
gene_619	2655	2878	2547
gene_620	2460	2721	2741
gene_621	4735	5507	4936
gene_622	76	62	90
gene_623	29749	34000	33534
gene_624	965	1247	1185
gene_625	2865	3059	3097
gene_626	233	310	294
gene_627	889	1067	1000
gene_628	1028	1171	1123
gene_629	2243	2636	2209
gene_630	1063	1285	1140
gene_631	2355	2560	2588
gene_632	2863	3371	3073
gene_633	3961	4209	4098
gene_634	51	62	56
gene_635	1431	1501	1625
gene_636	2531	2858	2521
gene_637	1767	2005	2149
gene_638	2328	2197	2121
gene_639	3890	4852	4151
gene_640	1265	1365	1441
gene_641	664	797	683
gene_642	33711	41040	38982
gene_643	4951	5194	4809
gene_644	1081	1292	1250
gene_645	495	495	530
gene_646	1459	1492	1425
gene_647	3820	4431	4245
gene_648	785	870	934
gene_649	262	308	277
gene_650	2905	3567	3217
gene_651	2	0	0
gene_652	1553	1971	1829
gene_653	35573	39183	40186
gene_654	865	867	922
gene_655	2639	2724	2928
gene_656	310	394	286
gene_657	659	750	838
gene_658	9003	9343	9405
gene_659	1102	1199	1211
gene_660	878	1146	1098
gene_661	854	991	897
gene_662	2642	2945	2669
gene_663	537	642	680
gene_664	4101	4589	4350
gene_665	759	919	887
gene_666	1402	1677	1462
gene_667	824	860	917
gene_668	777	878	842
gene_669	2159	2574	2104
gene_670	1133	1195	1361
gene_671	787	950	928
gene_672	1681	1642	1820
gene_673	726	799	945
gene_674	989	1327	1124
gene_675	2255	2954	2568
gene_676	6482	8263	7233
gene_677	1509	1797	1699
gene_678	592	679	821
gene_679	3969	4369	4092
gene_680	1063	1378	1209
gene_682	491	626	556
gene_683	7359	9268	8396
gene_684	1832	2087	1831
gene_685	1906	2124	2062
gene_686	588	702	740
gene_687	2313	2878	2898
gene_688	40	38	31
gene_689	1339	1705	1664
gene_690	3410	3917	3321
gene_691	2918	3375	3359
gene_692	6	11	0
gene_693	1292	1205	1392
gene_695	3253	3855	3304
gene_696	457	595	450
gene_697	860	1121	959
gene_698	2430	2569	2569
gene_699	2738	3002	2796
gene_700	2399	2507	2847
gene_701	990	945	1020
gene_702	494	675	667
gene_703	2	1	5
gene_704	780	813	689
gene_705	821	1020	883
gene_706	1743	2034	1880
gene_707	3943	4503	3848
gene_708	2322	2249	2446
gene_709	1882	2038	2247
gene_710	3001	3285	3636
gene_711	3252	3555	3417
gene_712	1055	990	1097
gene_713	374	505	518
gene_714	1107	1134	1291
gene_715	66	109	97
gene_716	13510	14581	13932
gene_718	117	81	104
gene_720	738	872	760
gene_721	724	761	690
gene_722	632	794	690
gene_723	325	411	390
gene_724	151070	153540	155676
gene_725	15725	18394	16639
gene_726	5249	6657	5955
gene_727	1577	1676	1390
gene_728	1560	1797	1901
gene_729	0	0	0
gene_730	0	0	0
gene_732	12	15	16
gene_734	3865	4282	3997
gene_735	32	14	8
gene_736	14	5	10
gene_737	142	120	145
gene_738	912	943	921
gene_739	894	952	1108
gene_740	1618	2069	1681
gene_741	2000	2215	2078
gene_742	4027	4796	4134
gene_744	5698	6650	6089
gene_745	1921	2139	1899
gene_746	2018	2423	2310
gene_748	2071	2748	2247
gene_749	2807	3261	2793
gene_750	1795	2237	1883
gene_751	11878	12828	12683
gene_752	18	12	10
gene_753	6161	7754	6705
gene_755	0	0	0
gene_756	0	0	0
gene_757	0	0	0
gene_758	0	0	0
gene_759	2050	2459	2505
gene_760	3709	3985	3747
gene_761	4268	4807	4956
gene_762	13	46	42
gene_763	1495	1879	1595
gene_764	58	56	79
gene_765	227	293	230
gene_766	0	2	0
gene_768	2241	2485	2454
gene_769	1537	1655	1634
gene_770	1813	1631	1982
gene_771	3353	4013	3729
gene_772	3968	4885	4119
gene_773	629	784	687
gene_775	3760	3778	3809
gene_777	7294	7970	7377
gene_778	4778	5702	5074
gene_779	1353	1584	1474
gene_780	4724	6124	5610
gene_781	530	707	617
gene_782	146	184	231
gene_783	3112	3540	3385
gene_784	1067	1152	1240
gene_785	0	0	0
gene_787	4386	4252	4680
gene_788	5568	6316	6047
gene_789	3822	4334	3942
gene_790	571	681	640
gene_791	808	996	972
gene_792	506	525	508
gene_793	24	15	20
gene_794	882	950	842
gene_795	1966	2104	1820
gene_796	64	48	51
gene_798	0	4	3
gene_799	225	302	237
gene_800	2798	3424	2990
gene_801	529	574	465
gene_802	236	250	279
gene_803	106	159	103
gene_804	214	306	266
gene_805	4917	5850	5146
gene_806	831	1043	950
gene_807	1768	1890	1737
gene_808	1065	1248	1141
gene_810	4728	5576	4924
gene_811	566	674	683
gene_812	3	32	23
gene_813	1364	1586	1488
gene_814	1491	1781	1777
gene_815	1076	1192	1227
gene_816	18039	18381	19325
gene_817	1439	1671	1602
gene_818	9276	10621	9719
gene_819	3086	3782	3295
gene_820	6374	7886	6446
gene_821	154	161	129
gene_823	1407	1651	1540
gene_824	2849	3084	3122
gene_825	1104	1299	1130
gene_826	10	20	10
gene_827	959	1064	1109
gene_828	3023	3439	3083
gene_829	211	220	338
gene_830	1942	2331	2330
gene_832	20588	22779	20601
gene_833	1345	1451	1588
gene_834	14978	16216	15915
gene_835	1503	1679	1573
gene_836	40	91	52
gene_837	4484	5218	4681
gene_839	358	403	383
gene_840	1401	1347	1452
gene_841	311	420	365
gene_842	615	719	712
gene_843	253	275	295
gene_844	349	314	418
gene_845	4871	5362	5041
gene_846	2441	2180	2397
gene_847	665	737	801
gene_848	3134	3840	3139
gene_849	68	62	80
gene_850	522	747	621
gene_851	760	879	662
gene_852	95	78	48
gene_853	660	803	712
gene_854	674	742	673
gene_855	433	422	488
gene_856	363	402	442
gene_857	2633	2725	2528
gene_858	6141	7034	6301
gene_859	3758	4480	3996
gene_860	0	2	4
gene_861	2552	2699	3030
gene_862	2579	2924	2885
gene_863	66201	68485	70226
gene_864	2938	3128	3149
gene_865	564	697	712
gene_866	725	999	951
gene_867	2406	2288	2442
gene_868	444	511	436
gene_869	15	26	18
gene_870	6	0	0
gene_871	1137	1317	1202
gene_872	180	167	204
gene_873	1098	1045	1068
gene_874	3866	2997	3520
gene_875	474	266	475
gene_876	2908	3647	3324
gene_877	2058	2355	2151
gene_878	11704	11799	12836
gene_879	3439	3959	3865
gene_880	14	4	1
gene_882	5622	5560	5439
gene_883	1191	1518	1281
gene_884	2035	2235	2061
gene_885	678	740	710
gene_886	1513	1963	1734
gene_888	1163	1440	1302
gene_889	2616	3103	2737
gene_890	4744	5465	4898
gene_891	1428	1852	1523
