Gene	Par_wo_1	Par_wo_2	Par_wo_3
gene_778	26426	23766	27018
gene_779	2116	1780	1895
gene_780	3498	3034	3509
gene_781	631	596	613
gene_782	98	60	93
gene_783	3200	2587	3092
gene_784	3351	3022	3380
gene_785	0	0	0
gene_787	7261	6527	6588
gene_788	8450	7614	8721
gene_789	4158	3699	4467
gene_790	968	967	974
gene_791	1048	991	1103
gene_792	444	343	359
gene_793	23	22	23
gene_794	690	600	654
gene_795	2048	1775	2106
gene_796	60	79	67
gene_798	4	0	6
gene_799	158	120	164
gene_800	2495	2327	2729
gene_801	387	281	363
gene_802	226	179	216
gene_803	104	76	77
gene_804	402	352	453
gene_805	11056	9833	11369
gene_806	982	815	749
gene_807	1539	1350	1467
gene_808	780	690	872
gene_810	3425	3187	3186
gene_811	463	415	423
gene_812	25	21	34
gene_813	833	764	999
gene_814	1465	1203	1322
gene_815	2651	2598	2702
gene_816	30304	28453	29620
gene_817	913	890	833
gene_818	4406	3953	4142
gene_819	3159	3145	3647
gene_820	5745	4935	5371
gene_821	138	121	135
gene_823	1806	1614	1689
gene_824	1990	1694	1927
gene_825	644	554	626
gene_826	1011	1060	925
gene_827	1755	1634	1832
gene_828	3292	2955	3602
gene_829	130	93	107
gene_830	1750	1558	1939
gene_832	17505	14323	15878
gene_833	1181	1079	1246
gene_834	9214	7606	7998
gene_835	1787	1720	2013
gene_836	101	147	150
gene_837	5250	4917	5581
gene_839	502	444	498
gene_840	1203	1038	1176
gene_841	258	213	287
gene_842	516	448	541
gene_843	333	320	332
gene_844	500	481	397
gene_845	6028	5850	6117
gene_846	1969	1744	1732
gene_847	744	702	663
gene_848	3075	2625	2910
gene_849	97	44	80
gene_850	396	336	360
gene_851	473	438	540
gene_852	32	13	18
gene_853	373	431	365
gene_854	478	405	503
gene_855	227	204	255
gene_856	248	219	257
gene_857	4020	3275	3771
gene_858	7656	7018	7782
gene_859	3808	3333	3575
gene_860	6	0	0
gene_861	6178	5711	6128
gene_862	2201	1938	2232
gene_863	64986	57605	63077
gene_864	2757	2266	2592
gene_865	512	514	531
gene_866	824	894	940
gene_867	3441	3033	2792
gene_868	531	474	626
gene_869	64	56	58
gene_870	2	0	8
gene_871	1025	903	1025
gene_872	195	190	208
gene_873	1130	988	1063
gene_874	4006	3543	3537
gene_875	444	466	350
gene_876	2678	2286	2555
gene_877	1113	1020	1144
gene_878	8651	8768	8607
