median,mean,std,rxns
0,9.42836514350396e-05,0.00253229289875363,r_0107_EXP_2
0,0.00142783904629482,0.00978970193248848,r_0107_EXP_3
0,0,0,r_0108
0.241966299418634,0.282415596227197,0.125705211212142,r_0109
0,0.00239611562374665,0.0582490616125261,r_0111
0.85366654975,0.874450253284368,0.108860147599505,r_0112
0,0.0171676272588446,0.189176916026742,r_0113
0,0,0,r_0114
0.0088803,0.0116097474024816,0.00661155573534092,r_0115
0.0088803,0.0116097474024816,0.00661155573534092,r_0118
0,0.000438447562873175,0.00508518017175247,r_0120_EXP_1
0,0.00344031889289516,0.0139206982158901,r_0120_EXP_2
0,0.00372388038526014,0.0146959254850426,r_0121_EXP_1
0,0.000374332756900058,0.00485140491085948,r_0121_EXP_2
0,0,0,r_0122_EXP_1
0,-1.36384376014931e-15,1.3638437601493e-13,r_0122_EXP_2
0,0.000536659531045464,0.00576951290007983,r_0123_EXP_1
0,0.00356155361111474,0.0143963162792061,r_0123_EXP_2
0,0.000295672656657778,0.00440844086807712,r_0124_EXP_1
0,6.04489520179584e-05,0.002007366911632,r_0124_EXP_2
0,0.00376739354788456,0.0147856472886976,r_0125_EXP_1
0,0.000330819594275637,0.00453824576039262,r_0125_EXP_2
0,4.86776592600793e-05,0.00209176373794908,r_0126
0,0,0,r_0126_REV
0,6.43748834346551e-05,0.00261206193045832,r_0127
0,0,0,r_0127_REV
0,6.06606934889977e-05,0.00248976633319057,r_0128
0,0,0,r_0128_REV
0,6.55062174497534e-05,0.00250933872298789,r_0129
0,0,0,r_0129_REV
0,6.958436200691e-05,0.00254873798851736,r_0130
0,0,0,r_0130_REV
0,1.87866433548015e-05,0.000607359535702885,r_0131
0,0,0,r_0131_REV
0,1.19912140674227e-05,0.000481560701820276,r_0132
0,0,0,r_0132_REV
0,1.35203849145649e-05,0.000513597869925601,r_0133
0,0,0,r_0133_REV
0,7.92641772422243e-06,0.000396311470345432,r_0134
0,0,0,r_0134_REV
0,3.35087955074436e-05,0.000802875309499962,r_0135
0,0,0,r_0135_REV
0,0,0,r_0137
0,0,0,r_0137_REV
0,0,0,r_0139
0.000936877452634462,0.00507137194006615,0.0267122162315866,r_0142
0,0.00195528370473791,0.0490485060187365,r_0143
0.000936877452634462,0.00507137194006615,0.0267122162315866,r_0144
0,0,0,r_0145
0,0.0103930052223969,0.328507739221934,r_0146
0,0.0103930052223969,0.328507739221934,r_0146_REV
0,0.00138370853319986,0.0461051628021476,r_0147
1.05884787576451,0.857777099815627,0.457021859607049,r_0148_EXP_1
0,0.0176434895311053,0.152610179629226,r_0148_EXP_2
0,0.234113500862657,0.496164603751704,r_0148_EXP_3
0,0.00517881297592201,0.10391779715838,r_0149_EXP_1
0,0.00795442086847713,0.132069062751597,r_0149_EXP_2
0,0.348442950281628,14.1824481900332,r_0150_EXP_1
0,0.233268142754654,11.5081285524248,r_0150_EXP_2
