Protein_ID,log2FoldChange,padj,Gene_id
201158,-1.04207630989817,2.8810590257405E-31,gene_2551
484414,-1.23624471519476,2.15157192099193E-94,gene_2561
484425,-1.22299343469578,1.68938640535375E-81,gene_2563
484474,-1.64444733735829,2.32495945020673E-67,gene_2577
484476,-1.2645489380985,8.86394630036931E-49,gene_2578
509293,-2.46418350512997,7.29378406848782E-108,gene_2605
484575,-2.76774635074408,1.27626842427142E-242,gene_2608
539074,-2.26156217517591,2.77060088502962E-150,gene_2617
484637,-1.33602601749776,2.03490686870208E-116,gene_2628
462076,-1.01624362022844,1.85732358960956E-79,gene_2632
484708,-1.91819425198639,6.30551715664336E-174,gene_2642
545286,-1.4066525420833,2.65587725534004E-66,gene_2648
523897,-1.37297176413943,4.44409567152301E-63,gene_2660
504651,-1.97993642688454,1.48859222019899E-154,gene_2664
484765,-1.61578401940871,6.54877108346745E-80,gene_2666
484814,-1.55433012872505,8.09113393926281E-141,gene_2678
484819,-1.64186409790721,1.69112558904185E-150,gene_2679
484822,-1.24536542767844,4.69667191135078E-54,gene_2680
484825,-1.31482631348642,1.03218950671698E-129,gene_2681
534674,-1.48689903269029,4.29847555393307E-40,gene_2685
471717,-1.22384870624298,1.72593089142044E-37,gene_2687
545315,-1.83188908472426,4.33554067653364E-127,gene_2688
484855,-1.57278135388472,1.55055950758353E-115,gene_2690
437001,-1.12862082790985,1.28714467279574E-49,gene_2697
534687,-1.73673452096501,7.70720720730839E-79,gene_2713
484931,-1.852460087242,7.73264433776825E-91,gene_2715
436647,-1.12158874662776,9.36610390158116E-36,gene_2734
484989,-1.06170570816,1.10204675993531E-53,gene_2738
210209,-1.83307403325655,1.02175154928393E-47,gene_2739
485018,-1.70583270427449,8.95055639800183E-79,gene_2747
485046,-1.09452546657189,6.07236371922333E-28,gene_2756
451424,-2.33530287037177,2.55884070291813E-74,gene_2770
485129,-1.47632725445774,2.01219738559752E-98,gene_2776
537102,-1.86904875147786,2.19048995513679E-179,gene_279
485175,-1.45329479281066,6.03605923317552E-78,gene_2790
539223,-1.56095483899677,2.23739939015921E-188,gene_2794
471802,-2.07469289124462,0,gene_2795
485196,-1.19502989687576,1.07727288299412E-104,gene_2798
485202,-1.15933031418123,1.46719935652355E-52,gene_2802
215730,-1.04087247255539,3.83076240169712E-28,gene_2845
545441,-1.40955036029488,3.70189548912811E-97,gene_2861
217398,-1.32892650776887,2.47323871139516E-25,gene_2868
485479,-1.61264020439095,1.5836601618573E-43,gene_2869
485495,-1.27408456907518,3.04413896013048E-95,gene_2873
539293,-1.40386107623862,5.58746839752754E-84,gene_2874
451569,-2.32602688473334,1.29029940953708E-190,gene_2887
436373,-1.04545060206478,1.64580840486514E-22,gene_2924
476873,-1.39923528321726,9.80474895311264E-29,gene_295
485756,-1.35697630312959,3.29381978610146E-83,gene_2950
485890,-1.8440996933071,2.92784922051962E-89,gene_2984
485898,-1.52731114927752,1.24914812213439E-75,gene_2987
485928,-1.07184781536826,8.24861159285301E-46,gene_2995
485973,-1.07087241419286,7.96797726463634E-61,gene_3003
486036,-1.16442232877301,1.46762210747977E-114,gene_3018
438006,-1.50269886580538,4.29092757467332E-83,gene_3046
451770,-2.24814348783976,3.84685199062253E-194,gene_3048
476904,-2.77546908586998,0,gene_306
486257,-1.21063247393631,3.32468279150602E-75,gene_3068
14588,-2.59312808947793,0,gene_307
14612,-1.05911397781892,1.20133754713924E-73,gene_308
227824,-1.37986259404884,1.52771322489611E-32,gene_3087
227879,-1.12190587607718,2.43916879669102E-51,gene_3088
475907,-1.00889189990187,1.68620924130914E-84,gene_31
476915,-1.10548660695599,1.35177394259207E-62,gene_311
504802,-1.09035562198818,2.80219353333603E-34,gene_3131
229375,-2.02340825310408,2.39514965702764E-185,gene_3134
451850,-1.81425451222207,4.82017053739523E-82,gene_3135
486449,-1.34430785441588,1.06604033821036E-15,gene_3143
534821,-1.59038200646521,1.95751664117618E-136,gene_3147
486541,-2.05035173194986,2.12547878171263E-161,gene_3164
486543,-1.15774651005712,5.90285297315896E-68,gene_3165
233019,-2.08793914807141,9.73910322882563E-122,gene_3196
486663,-1.86424442710148,9.60818853761277E-87,gene_3199
486759,-1.93769056985117,7.43389439826929E-244,gene_3222
486775,-1.45895804875134,2.18282690665967E-43,gene_3227
509863,-1.68398143620526,1.43294966904401E-215,gene_3235
486913,-2.16798056863948,2.71152712216371E-172,gene_3244
462812,-1.6781703474338,1.06012295597029E-88,gene_3263
487061,-1.11077691738149,4.4197228995061E-80,gene_3291
452061,-1.57805476852454,2.06146610629131E-164,gene_3292
241340,-1.65916514193694,2.29238706664005E-74,gene_3334
477052,-1.29230176357197,4.69154376319759E-77,gene_334
487250,-1.10147332692347,1.9053262794245E-24,gene_3347
487269,-1.49341200237554,6.53503800301729E-150,gene_3351
487303,-1.38901333468956,9.81496161129691E-54,gene_3358
545780,-1.77214016450638,7.21644123637212E-33,gene_3363
437668,-1.3228668315687,6.52541827203896E-144,gene_3364
487323,-2.2183681291936,1.13497952607318E-246,gene_3365
487333,-1.82736255383128,3.93721334324186E-81,gene_3368
525546,-1.1722265275009,1.92960734284609E-75,gene_3372
487391,-1.0257642706239,7.25042006276464E-78,gene_3384
525572,-1.30651862320224,2.15359069854314E-34,gene_3393
487408,-2.30132949152989,3.03185120992634E-219,gene_3394
487413,-1.34013184300491,4.65294003038913E-50,gene_3396
487428,-1.21564580237808,1.19452862892061E-70,gene_3401
244382,-1.08385305414302,2.14253682511756E-32,gene_3404
539738,-1.44084166600629,1.4913481203076E-70,gene_3407
504931,-1.2137606126754,6.29687961997918E-69,gene_3421
487510,-1.16305275900435,8.15283362946048E-25,gene_3429
452245,-2.2106404912445,1.48086430529666E-205,gene_3451
545847,-1.60429671225806,2.1194527838672E-11,gene_3457
510066,-1.33511583366135,2.63591790838397E-102,gene_3465
246907,-1.01725222891421,4.92876037907609E-41,gene_3466
510086,-1.19888965177361,9.23953901272368E-72,gene_3485
247521,-1.09694547707239,8.80426564792444E-54,gene_3487
247650,-1.44645316220075,8.38435691885093E-45,gene_3492
247852,-1.36550090247165,2.84835757570364E-66,gene_3498
247851,-1.69600254316357,3.55623445945463E-15,gene_3499
510100,-1.25758166481313,2.909312181552E-29,gene_3501
487742,-1.16092682132698,4.2601573865627E-78,gene_3503
487747,-2.1226437484234,5.54894653260475E-189,gene_3505
452328,-1.96886773271586,1.98160957582241E-192,gene_3520
539837,-1.13619607435644,4.54192130220058E-73,gene_3521
487828,-1.46973460987691,1.27783025234885E-142,gene_3528
463143,-1.135804831335,6.46410000766752E-49,gene_3539
