Gene_gattii	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
CGB_G2360W	1	0.914888059400504	0.943953774937904	0.662273025330251	0.682057890611858	0.607949743308984	0.584383074257368	0.55917404891397	0.539107965336194	0.47165373749671	0.536903421391625	0.461303370728369
CGB_G2370C	0.68465387576143	0.661379654686407	0.679899936043927	0.733235825995486	0.770975191489208	0.733133986939503	0.804439846013443	0.781863724292322	0.769764913689418	0.989801034551382	1	0.992223564974586
CGB_G2320W	0.946129738023167	0.966092635040437	1	0.801846386501253	0.789643485444372	0.795390965514081	0.486067938924557	0.519836736596102	0.50452221947192	0.543836397220591	0.539012314092339	0.584783454322632
CGB_G2280C	0.981343176386447	0.97313205757859	0.957789830729494	1	0.987559093421683	0.966793921733	0.796791789501578	0.76762869672147	0.816397695972155	0.68736116299092	0.731234018138914	0.711009099241214
CGB_C6300W	0.533226531726856	0.501973101225979	0.590276613792499	0.494160206361833	0.506343139035979	0.48540590655166	0.975724041838555	0.924736087004239	1	0.985520538188415	0.970766409409711	0.912835141337854
CGB_E2790C	0.976563564015943	0.991622536420683	1	0.901477287409544	0.944248317907251	0.886584951844033	0.873187900851167	0.97381989131262	0.888917134183024	0.926946908289378	0.95702759033988	0.974599946942161
CGB_C7340C	0.812207483434244	0.813709992787016	0.826823747769541	0.717239850176216	0.683420138367547	0.745409919676381	0.94531121738761	0.963937826765696	0.893595491664929	0.936537191696962	1	0.856767377965781
CGB_G1070C	1	0.959388811285272	0.880082831752266	0.734520880564488	0.633517536145786	0.81308200584456	0.490171870420509	0.385888523494392	0.516316687305326	0.439986715124224	0.420329127567057	0.402628355574604
CGB_G1590C	0.939680521326573	0.92933069934947	0.925030293434745	0.980546024733367	0.944787116435627	1	0.713915778928518	0.656092242688811	0.767622656756537	0.578240784532937	0.619325678926234	0.621444415319144
CGB_G1600C	0.898510126648338	0.901782315031426	0.89954438428304	0.405353185218788	0.413605651558835	0.396655366312395	0.977539850690985	0.986071435423126	0.918862455837512	1	0.989674201922219	0.949376882469049
