Gene,Par_wo_1,Par_wo_2,Par_wo_3,Par_Ac_1,Par_Ac_2,Par_Ac_3,ATS_wo_1,ATS_wo_2,ATS_wo_3,ATS_Ac_1,ATS_Ac_2,ATS_Ac_3,Norm_Par_wo_1,Norm_Par_wo_2,Norm_Par_wo_3,Norm_Par_Ac_1,Norm_Par_Ac_2,Norm_Par_Ac_3,Norm_ATS_wo_1,Norm_ATS_wo_2,Norm_ATS_wo_3,Norm_ATS_Ac_1,Norm_ATS_Ac_2,Norm_ATS_Ac_3
PAPLA_04090,1063.43034107949,1103.04237640039,1105.80573638948,865.029438713869,1017.21064946649,853.762410027507,1466.07856729697,1476.35059065953,1595.33949791307,1450.70675141011,1437.06714985593,1339.54128941774,0.666585602920637,0.691415449716706,0.69314759512695,0.542222793233321,0.637613906505258,0.535160328660043,0.918975910277912,0.925414679816306,1,0.909340459073345,0.900790804550265,0.839659076434859
PAPLA_04093,4754.72374522365,5109.28362768383,5036.59200668734,2877.63047600555,2639.35717094152,2982.32074735636,2782.6746140068,2588.82958294282,2698.23549118668,2029.4861289157,2177.4950996432,2299.11654001026,0.930604775875222,1,0.985772639318236,0.563216036865437,0.516580672218036,0.583706242338385,0.544631070964494,0.506691303828909,0.528104463914809,0.397215397853283,0.42618403250209,0.449988042854554
PAPLA_04094,0,6.49485206908962,13.544427217369,4.09481391107157,3.9929760528616,9.35630038386309,0,2.50370365855205,9.76014153339477,1.07380218461148,7.96159085792762,2.1467007843233,0,0.479522091621623,1,0.30232462734345,0.294805825951881,0.690785976675694,0,0.184851202518285,0.720602014153735,0.0792799996174416,0.587813034110287,0.158493286565151
PAPLA_04096,687.198668062199,573.711932769583,697.538001694501,1076.93605861182,955.319520647138,1144.97725947525,271.176623885649,227.837032928237,309.662672286798,142.815690553327,260.742100597129,186.762968236127,0.600185429339572,0.50106840814683,0.609215594390221,0.940574190185564,0.834356763631242,1,0.236840183192748,0.19898826028445,0.270453120115869,0.124732338019342,0.227726881420011,0.163115002233076
PAPLA_04097,404.065138623164,387.526173455681,433.421670955806,473.974710206534,415.269509497607,484.188544864915,76.6577028652012,110.997528862474,62.9972771700935,53.6901092305741,85.5871017227219,53.6675196080825,0.834520235781074,0.800362126625276,0.895150609308049,0.978905253404476,0.857660747867267,1,0.158322008395693,0.229244433887715,0.130108978905458,0.110886781192961,0.176763995411333,0.110840126593774
PAPLA_04098,676.641146625489,674.382139840472,704.310215303185,550.752471039126,593.955187863163,642.076113842605,279.800615457984,322.143204067031,286.593246844228,142.815690553327,165.203010301998,206.083275295037,0.960714656586679,0.957507253462411,1,0.78197427649412,0.843314742506585,0.91163822402634,0.397269000759187,0.45738823187217,0.406913375125275,0.202773845175381,0.234560008803625,0.292602990581819
PAPLA_04099,446.295224370003,233.814674487226,305.717071477756,119.773306898843,91.8384492158168,116.953754798289,13.4150980014102,20.8641971546005,15.0838550970646,16.1070327691722,13.9327840013733,4.2934015686466,1,0.52390135883099,0.68501085107803,0.268372369585439,0.205779592074859,0.262054685804408,0.0300587980083075,0.0467497656602817,0.03379793077185,0.0360905335518863,0.0312187611262053,0.0096200930106461
PAPLA_04110,8429.70097987471,8686.86464240737,9122.17173089799,2863.2986273168,2831.02002147888,2539.06601667085,8048.10057956031,8661.14552281774,7910.15107001949,8567.86763101502,9043.37201574853,8378.57316121385,0.924089266081476,0.952280323005083,1,0.313883438262671,0.31034496005922,0.278340080802327,0.882257078355622,0.949460915483679,0.86713463672546,0.939235511429206,0.991361737371973,0.918484480272886
PAPLA_04117,8775.21986325793,9194.5455791412,8959.63860428956,6259.94676655066,6466.62471760936,6343.57166025917,4238.21274715981,3817.3135114057,4310.43341538471,2703.83390085171,2975.64458315045,2906.63286197375,0.954394079373041,1,0.974451486174091,0.680832642860786,0.703310964304705,0.689927697422071,0.460948582034836,0.415171525177457,0.468803311515839,0.294069334648321,0.323631500604121,0.316125776630849
PAPLA_04129,21156.3131844903,20112.3919072809,19435.2855978375,15954.4187010126,15982.8848955918,15530.2890996647,20763.6970423256,19248.4737269482,20907.1104501255,14771.2228515156,15565.9053261057,15675.2091271287,1,0.95065674873944,0.918651819357898,0.754120936000739,0.7554664537349,0.734073511024121,0.981442128468181,0.909821742526447,0.988220880822114,0.698194563613493,0.735756990850233,0.740923477093363
PAPLA_04133,581.623453695101,489.278855871418,562.093729520812,761.635387459312,746.68652188512,543.834959812042,640.09181892443,620.918507320909,598.917775912861,866.558362981466,772.274313218979,833.993254709603,0.671187860554455,0.564623084575647,0.64865074706207,0.878919897372916,0.86166905056006,0.627580302774914,0.738659790579068,0.71653397375866,0.691145341731208,1,0.891197115173992,0.96242017887887
PAPLA_04134,774.53816358407,712.268776910162,796.218828563903,1414.75820627523,1537.29578035172,1348.47679282427,1306.05561256587,1326.96293903259,1356.65967314187,1350.84314824124,1336.5520652746,1374.96185235907,0.503831581068194,0.463325786757316,0.51793469984139,0.920290177308329,1,0.877174588039102,0.849579911204242,0.863179978760491,0.882497493638783,0.87871388545162,0.86941763735851,0.894402931389359
PAPLA_04152,311.92676972097,402.680828283556,315.391662347306,203.716992075811,275.515347647451,261.976410748167,736.872168791747,669.323444719582,669.900623428459,601.32922338243,664.792836636956,563.508955884867,0.423311916139319,0.546473113435447,0.428014078567325,0.276461780894571,0.373898430848888,0.355524908991652,1,0.908330471779217,0.909113753782964,0.816056364794497,0.902182040240467,0.764730953007569
PAPLA_04156,1315.85108088446,1230.77446709248,1133.86204991117,2212.22321545642,2181.16316887565,2250.19024231907,2670.56272356645,2640.57279188623,2794.94962092668,3137.64998343475,3289.13222318135,3486.24207374104,0.377441110815474,0.353037580597997,0.32523904706779,0.634558119793016,0.625648799693096,0.645448650645312,0.766029055664716,0.757426689263912,0.801708418924409,0.900009212517988,0.943460652935046,1
PAPLA_04157,9565.11442165904,6740.57397237018,6998.59903503193,7764.79087886947,7559.70191208023,7852.2750971571,8361.43894002182,8424.96281102766,8944.72607255934,2647.99618725192,3022.41892944077,2892.67930687565,1,0.704703955982687,0.731679593835747,0.811782330725396,0.790340980653844,0.820928506550489,0.874159844976696,0.880801048438099,0.935140519835821,0.276838945204446,0.315983562370866,0.302419728542455
PAPLA_04162,190.035385860776,198.092988107233,187.687062869255,161.745149487327,127.775233691571,109.936529510391,152.357184444587,153.560491057859,156.162264534316,137.44667963027,126.390254869601,137.388850196691,0.959324142043356,1,0.947469492295482,0.816511230573038,0.645026534823145,0.554974361085812,0.769119522605778,0.775193975945946,0.788328077770129,0.693849292413452,0.638034975782094,0.693557361668545
