Rxn	mean_Par_wo	mean_Par_Ac	mean_ATS_wo	mean_ATS_Ac	norm_Par_wo	norm_Par_Ac	norm_ATS_wo	norm_ATS_Ac
r_2223	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2224	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2225	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2226	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2227	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2228	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2229	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2230	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2231	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2236	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2237	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2238	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2239	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2240	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2241	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2242	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2243	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2244	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2245	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2246	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2247	4327.145538026097	4373.86009766637	3559.291934027027	3227.35907009211	0.9893196036002163	1.0	0.8137644676669132	0.7378743256589381
r_2248	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2249	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2250	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2251	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2252	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2253	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2254	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2255	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2256	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2257	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2258	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2259	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2260	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2261	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2262	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
